,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,售房详情,税费解析,周边配套,房源核验码,查询房管备案记录,小区介绍,适宜人群,权属抵押,装修描述,交通出行,别墅类型,用水类型,用电类型,燃气价格
0,便捷方便的简单生活，快乐舒适的精致小屋,44.8万,7988,金坛区东城街道,左邻右里,2室1厅1厨1卫,高楼层 (共7层),56.09㎡,平层,暂无数据,暂无数据,南,框架结构,精装,暂无数据,暂无数据,暂无数据,2023-10-13,商品房,2016-10-13,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,户型空间利用合理，旁边配套完善独居养老皆可。,"房型格局好,南北通风户型,南边卧室均全墙落地窗，全天采光，户型方正视野好,干湿分离,明厨明卫，户型设计合理。","业主因有其它房子居住，故闲置，现诚心出售,证件齐全,欢迎看房,随时恭候",此房多出一套税费远房东愿意自行承担——————————契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5 年征1%,配套设施：小区生活设施齐，商场、市场、银行，医院，菜场等，交通便捷。。。。,,,,,,,,,,,
1,融创电梯中层，三开间朝南户型，满二税费低，随时看房,75万,7482,金坛区东城街道,融创融熙诚园,3室2厅1厨2卫,中楼层 (共34层),100.25㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,一梯四户,有,暂无数据,2024-03-09,商品房,2021-12-24,普通住宅,满两年,共有,有抵押,已上传房本照片,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。",,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,90平以上2%,三套房不论大小均为3%; 增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,132412839671,"此房格局好,南北通风户型,全天采光,户型方正视野好",,,,,,,,,
2,吾悦 金玉华府电梯中低层95平两室毛坯69.8万,69.8万,7348,金坛区东城街道,金玉华府,2室2厅1厨1卫,低楼层 (共30层),95㎡,暂无数据,暂无数据,塔楼,南,钢混结构,毛坯,两梯三户,有,暂无数据,2024-03-01,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房已满二 电梯中低楼层 采光好 没遮挡 95平两室69万8,,,此房是70年产权的商品房 买方首套房1.5的税 二套房是2个点的税 三套及以上是3个点的税,,,,此房小区环境好 地理位置佳 生活配套设施齐全 物业安保 认真负责,此房是电梯中低楼层 小区环境好 地理位置好适合刚需 置换改善 老人养老,,,,,,,
3,融创融熙诚园4-2-1-2 124.61m² 113.8 万,109.8万,8812,金坛区东城街道,融创融熙诚园,4室2厅1厨2卫,中楼层 (共11层),124.61㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,一梯六户,有,暂无数据,2024-02-24,商品房,2021-09-28,普通住宅,暂无数据,共有,无抵押,已上传房本照片,"房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,132411474504,"此房格局好,南北通风户型,全天采光,户型方正视野好",,,,,,,,,
4,朱庄花苑B区2-1-1-1 93.00m² 53.8 万,53.8万,5814,金坛区东城街道,朱庄花苑B区,2室1厅1厨1卫,中楼层 (共6层),92.54㎡,暂无数据,暂无数据,塔楼,南,框架结构,精装,暂无数据,无,暂无数据,2024-02-22,商品房,2007-12-12,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房户型三房一卫格局好 精装修 拎包入住 视野宽阔,,,首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下1%，以上2%，三套房不论大小均为3%；增值税分析：产证满两年免增值税，未满两年征收5.3%；个税：产证满五而且是唯一一套住房，免收个税，未满5年成交价的1%,,,,小区环境各方面还是不错的，交通便利，配套齐全。出行便利，小区环境好，绿化高，花草树木一应俱全，空气新鲜,本房适合年轻人居住，房子采光好，不临街，社区生活方便，邻里和睦小区内配套齐全，有大型菜市场，公园，医院，出门即是公交站，出行方便！管理以及卫生情况都不错，近小区里有购物点，周末早上小区门口有卖菜的早市，生活便利！,,,,,,,
5,华城二村 3室 92.67平 带16平左右车库 看中可谈,63.8万,6885,金坛区东城街道,华城二村,3室2厅1厨1卫,中楼层 (共6层),92.67㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-11,商品房,2011-10-24,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房满五，南北通透，楼层好，采光无影响。。。,,售房原因：单纯出售！ 房屋现状：随时可以看房，业主随时可以回来签约！ 特殊要求：无特殊要求！,契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。 三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免。,,,,,,贷款抵押：目前房屋无任何贷款抵押，随时可以签约交易！ 售房原因：业主工作在南京，单纯出售！,,,,,,
6,融创融熙诚园3-2-1-2 100.24m² 86.8 万,69.8万,6964,金坛区东城街道,融创融熙诚园,3室2厅1厨2卫,低楼层 (共34层),100.24㎡,暂无数据,暂无数据,板塔结合,南 北,框架结构,毛坯,两梯四户,有,暂无数据,2024-02-26,商品房,2024-02-27,普通住宅,未满两年,共有,无抵押,已上传房本照片,融创电梯洋房 前排中间楼层 四室两卫 精装修 户型方正 有车位..,"：
此房 飞机户型 三开间朝南 双阳台 南北通风。。采光充足 视野开阔",,"首套房90平米以下1%,90平米以上1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年评估价的1%。

权属",,,,新小区 人车分流 有24小时安保系统 有健身锻炼场地 小区有快递站 商店 小吃店,,此房是房东全款房 没有抵押贷款 随时可以过户 看房全程陪同。。。 房主自荐(业主对房源的描述),,,,,,
7,融创融熙诚园 3室2厅 北,71.8万,7188,金坛区东城街道,融创融熙诚园,3室2厅1厨0卫,高楼层 (共34层),99.9㎡,暂无数据,暂无数据,板塔结合,北,框架结构,其他,两梯四户,有,暂无数据,2024-03-18,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,,,
8,翠堤湾顶楼复式 小区环境优美 物业负责,69万,5050,金坛区东城街道,翠堤湾花园,3室2厅1厨2卫,高楼层 (共6层),136.65㎡,暂无数据,暂无数据,板塔结合,南,框架结构,毛坯,暂无数据,无,暂无数据,2024-03-17,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好",,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,90平以上2%,三套房不论大小均为3%; 增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
9,九洲里电梯洋房 高铁站 段玉裁 钱资湖 配套成熟,89万,6954,金坛区东城街道,九洲里花园,3室2厅1厨2卫,高楼层 (共11层),128㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好",,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,90平以上2%,三套房不论大小均为3%; 增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
