,location,latlon,adcode
0,天宁区茶山丽华三村南开小区,"119.973317,31.744436",320402
1,天宁区茶山龙运天城,"119.982419,31.759770",320402
2,天宁区茶山元丰桥小区,"119.966551,31.772289",320402
3,天宁区茶山华润凯旋门二期,"119.961822,31.748462",320402
4,天宁区茶山华润国际社区剑桥澜湾,"119.964529,31.744603",320402
5,天宁区茶山天鹅湖花园,"119.981257,31.746746",320402
6,天宁区茶山银河湾明苑二期,"119.967875,31.763120",320402
7,天宁区茶山新城金郡,"119.964882,31.763295",320402
8,天宁区茶山华润凯旋门,"119.961822,31.748462",320402
9,天宁区茶山弘阳天下锦,"119.984492,31.760429",320402
10,天宁区茶山朝阳二村,"119.979164,31.760915",320402
11,天宁区茶山华润·中央公园,"119.958064,31.745015",320402
12,天宁区茶山同济花园,"119.970303,31.765768",320402
13,天宁区茶山桃园新村,"119.969256,31.768341",320402
14,天宁区茶山元丰苑,"119.967933,31.771128",320402
15,天宁区茶山朝阳四村北区,"119.975736,31.757838",320402
16,天宁区茶山丽华新村,"119.971797,31.751083",320402
17,天宁区茶山东城明居,"119.985945,31.757998",320402
18,天宁区茶山天翼·御品苑,"119.968327,31.755540",320402
19,天宁区茶山杨家花园,"119.971051,31.741363",320402
20,天宁区茶山华润国际社区中吴府,"119.933350,31.751422",320402
21,天宁区茶山麻巷公寓,"119.966944,31.773232",320402
22,天宁区茶山御翠园,"119.977566,31.770819",320402
23,天宁区茶山王家村,"119.970054,31.757267",320402
24,天宁区茶山新城光明璞樾门第,"119.986775,31.755052",320402
25,天宁区茶山国泰新都,"119.963106,31.768696",320402
26,天宁区茶山天顺御和苑,"119.977572,31.768627",320402
27,天宁区茶山清二社区,"119.933350,31.751422",320402
28,天宁区茶山兢业园,"119.933350,31.751422",320402
29,天宁区茶山诺诚高第,"119.977104,31.749968",320402
30,天宁区茶山府河名居,"119.968141,31.765753",320402
31,天宁区茶山丽华二村,"119.974234,31.746885",320402
32,天宁区茶山光华世家,"119.971483,31.758926",320402
33,天宁区茶山五角场东村西区,"119.982979,31.767734",320402
34,天宁区茶山华宇常宁府,"119.969930,31.753527",320402
35,天宁区茶山和平国际花苑,"119.962711,31.751671",320402
36,天宁区茶山五角场西村,"119.981701,31.768017",320402
