,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,周边配套,权属抵押,交通出行,小区介绍,税费解析,户型介绍,售房详情,房源核验码,查询房管备案记录,适宜人群,别墅类型,装修描述,用水类型,用电类型,燃气价格
0,大润发旁 丽华三村 大三房 中间楼层 价格美丽,83万,8945,天宁区茶山,丽华三村南开小区,3室1厅1厨1卫,中楼层 (共6层),92.79㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-11-03,商品房,2016-12-10,普通住宅,满五年,共有,无抵押,已上传房本照片,经典大三房 南北通风 户型方正 明厨明卫,大润发，酒店林立，丽华医疗医院咫尺，菜场大润发一应俱全，公交站台出行便利,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,小区门口共享单车出行，六路十路公交车直达市区武进湖塘，向西八百米常州南北主干道,,,,,,,,,,,,
1,龙运天成 开发商精装 中间楼层采光好,193万,18418,天宁区茶山,龙运天城,3室2厅1厨2卫,中楼层 (共27层),104.79㎡,平层,暂无数据,板楼,南,混合结构,精装,两梯四户,有,暂无数据,2023-11-16,商品房,2022-02-16,普通住宅,暂无数据,共有,有抵押,已上传房本照片,龙运天成 开发商精装 中间楼层采光好,位于朝阳成熟商圈，配套齐全，银行，医院，饭店，小吃，吃喝玩乐都全。,,,小区旁成熟社区，配套设施齐，菜场、娱乐场所、公园、银行、医院，适宜居住,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.3％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,,,,,,,,,
2,明厨明卫元丰桥小区元丰苑旁二十四精装修满五唯一,270万,33692,天宁区茶山,元丰桥小区,2室2厅1厨1卫,高楼层 (共6层),80.14㎡,平层,暂无数据,板塔结合,南,混合结构,精装,暂无数据,无,暂无数据,2021-12-02,商品房,2016-04-13,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房满五唯一，格局好，精装修，看房方便价格可谈,,,小区旁有多条公交线路，可低碳环保出行。地铁一号线通济桥站出门即可到达，二号线红梅公园站。出行方便,,房屋产权：商品房 税费： 契税：首套房90平以下1% 个税：产值满五年且是房东的唯一一套住宅，免征个税，未满五年1%,大两房，明厨明卫，2房朝南，自住精装修。满五唯一。看房方便价格可谈,,,,,,,,,
3,龙运天城精装3房1卫 ， 新风地暖 空调， 看房方便。,180万,17163,天宁区茶山,龙运天城,3室2厅1厨1卫,中楼层 (共27层),104.88㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-02-13,商品房,2022-05-15,普通住宅,未满两年,非共有,无抵押,已上传房本照片,龙运天城精装3房1卫 ， 新风地暖 空调， 看房方便。,朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,房有贷款，产权清晰。房东对付款无要求，按照正常首付就可以。。。。,,,此房暂时不满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,,,,,,,,,,
4,华润国际，精装三房，家电家具齐全，拎包入住,188万,15280,天宁区茶山,华润凯旋门二期,3室2厅1厨2卫,低楼层 (共26层),123.04㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯六户,有,暂无数据,2023-03-13,商品房,2018-06-01,普通住宅,暂无数据,非共有,有抵押 150万元,已上传房本照片,华润国际，精装三房，家电家具齐全，拎包入住,,,,小区地理位置优越，出行方便，华润置地开发，小区全天保安，安全性高，环境优美，绿化好,契税：1.首套90平以下1% 2.首套90平以上1.5% 3.二套90平以下1% 4.二套90平以上2% 5.三套都是3% 增值税：产权满两年免征 产权不满两年征收比例为5.3% 个人所得税：产证满五唯一免征 其他统一1%,,此房业主诚心出售，产权清晰，证件齐全，看房方便，要看房的约起来吧,,,,,,,,
5,华润一期复式洋房  精装修 全天采光,510万,21228,天宁区茶山,华润国际社区剑桥澜湾,7室2厅1厨3卫,高楼层 (共5层),240.25㎡,跃层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-06-24,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 100万元,未上传房本照片,"业主诚心出售,手续齐全，价格公道，看房方便.",小区生活设施齐，商场、菜市场、银行等，交通便捷； 小区内有健身器材，小型篮球场，可供小区居民使用； 小区内停车位充足，建有地上停车场和地下车库；,,,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权 额征收5.3% 个人所得税：不满5年或不唯一征1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 楼层佳，朝向南北，视野开阔，采光透亮,,,,,,,,,
6,龙运天城105平优质好房，3室2厅1厨2卫。,188万,17408,天宁区茶山,龙运天城,3室2厅1厨2卫,中楼层 (共27层),108㎡,平层,暂无数据,板楼,南,混合结构,精装,两梯四户,有,暂无数据,2021-10-30,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,龙运天城精装3房2卫！！！！！,朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，邮政储蓄.,此房有贷款，产权清晰。房东对付款无要求，按照正常首付就可以。,,,税费解析：此房不满二，故增值税是5.3%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,,,,,,,,,
7,天鹅湖花园 3室2厅 南,140万,13334,天宁区茶山,天鹅湖花园,3室2厅1厨1卫,中楼层 (共33层),105㎡,平层,暂无数据,塔楼,南,钢混结构,精装,四梯三户,有,暂无数据,2023-09-24,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,,,,,,,,,,,,,,,,
8,银河湾明苑  70年住宅！ 低总价小两房  随时看房,70万,12346,天宁区茶山,银河湾明苑二期,2室1厅1厨1卫,高楼层 (共34层),56.7㎡,平层,暂无数据,板塔结合,东,钢混结构,简装,两梯六户,有,暂无数据,2023-10-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,70年住宅，低总价小两房，阳光充足，小区环境优美，配套齐全,朝阳综合市场，大润发，银行交通银行，中国工商银行，邮政储蓄.,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。价格可商量，房子保养好。,,,此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,,,,,,,,,,
9,新城金郡    精装修  产权清晰  诚心出售,140万,17284,天宁区茶山,新城金郡,2室2厅1厨1卫,中楼层 (共26层),81㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2023-05-18,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,产权清晰  新城金郡 采光好 配套成熟 出行便利,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子， 看房方便,,,,,,,,
10,凯旋门小三房，交通便利，配套齐全，户型方正有钥匙,137万,15394,天宁区茶山,华润凯旋门,3室2厅1厨1卫,高楼层 (共32层),89㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2022-08-29,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 35万元,未上传房本照片,此房满五唯一，地段好，出行方便，新小区居住舒适。,华润万象城，丽华大润发，凤凰公园，连锁酒店，蔷薇湿地公园，各大银行，各类小吃美食一应,,距离地铁1号线茶山站，步行大概1公里左右。距离6路公交车华润站，步行大概600米左右。,,,,此房业主诚心出售，不在常州发展了，产权清晰，证件齐全，看房方便，放心购买。,,,,,,,,
11,华润凯旋门二期(五期）  毛坯房  产权清晰  诚心出售,205万,16118,天宁区茶山,华润凯旋门二期,3室2厅1厨2卫,中楼层 (共33层),127.19㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯三户,有,暂无数据,2022-07-17,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 50万元,未上传房本照片,业主诚心出售，手续齐全，业主诚售，看房方便、产权清晰,小区配套综合体华润万象及富强菜场、银行、便利店等生活配套设施；距离南大街约3公里、武进万达约1.5公里；距离常州三院2公里、常州二院2.5公里。,,,小区是华润五期，建于2018年，共建7栋；绿化30%，容积2.1；小区人车分流，停车位充足；华润物业，物业费1.6元；小区自带休闲走廊、儿童游乐区等。,首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权 额征收5.3% 个人所得税：不满5年或不唯一征1%,,,,,,,,,,
12,华润国际五期精装大3房户型方正采光好 业主诚心出售,190万,15574,天宁区茶山,华润凯旋门二期,3室2厅1厨2卫,中楼层 (共33层),122㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-10-28,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 80万元,未上传房本照片,户型方正 婚房装修 拎包入住 看中价格可刀。,小区配套综合体华润万象及富强菜场、银行、便利店等生活配套设施；距离南大街约3公里、武进万达约1.5公里；距离常州三院2公里、常州二院2.5公里。,,,小区是华润五期，建于2018年，共建7栋；绿化30%，容积2.1；小区人车分流，停车位充足；华润物业，物业费1.6元；小区自带休闲走廊、儿童游乐区等。,首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权 额征收5.3% 个人所得税：不满5年或不唯一征1%,,,,,,,,,,
13,龙运天城精装3房2卫 ， 新风地暖 空调 看房方便,180万,17181,天宁区茶山,龙运天城,3室2厅1厨2卫,高楼层 (共27层),104.77㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-03-16,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,龙运天城精装3房2卫 ， 新风地暖 空调 看房方便,朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,房子产权清晰。房东过户陪同 房东对付款无要求，按照正常首付就可以。,,,个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,,,,,,,,,
14,龙运天城，户型方正，精装修，中间楼层，看中价格可谈,200万,19048,天宁区茶山,龙运天城,3室2厅1厨2卫,中楼层 (共27层),105㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-02-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,龙运天城，户型方正，精装修，中间楼层，看中价格可谈,儿童医院，萃园公园， 凤凰世界广场 ，凤凰公园，朝阳综合市场，大润发商场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄,,,环境优美，楼间开阔，居住舒适性高楼间开阔，居小区环境优美，治安放心，出行方便，自带活动场所，娱乐与健身一体，绿植保养好采光好，环境优住舒适性高,契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%,,,,,,,,,,
15,龙运天城 有正衡 有车位 精装全天采光 价可议,185万,17667,天宁区茶山,龙运天城,3室2厅1厨2卫,高楼层 (共25层),104.72㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-12-05,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,正衡空置，龙运天成 开发商精装 中间楼层采光好,位于朝阳成熟商圈，配套齐全，银行，医院，饭店，小吃，吃喝玩乐都全。,,,小区旁成熟社区，配套设施齐，菜场、娱乐场所、公园、银行、医院，适宜居住,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.3％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,,,,,,,,,
16,华润国际社区剑桥澜湾 2室2厅 南,125万,15329,天宁区茶山,华润国际社区剑桥澜湾,2室2厅1厨1卫,中楼层 (共18层),81.55㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,两梯四户,有,暂无数据,2024-03-03,商品房,2020-04-04,普通住宅,暂无数据,非共有,暂无数据,已上传房本照片,,,,,,,,,,,,,,,,
17,银河湾明苑 精装三室 房东诚心出售 看房方便,123万,13477,天宁区茶山,银河湾明苑二期,3室2厅1厨1卫,中楼层 (共33层),91.27㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2024-01-16,商品房,2023-11-29,普通住宅,未满两年,非共有,无抵押,已上传房本照片,银河湾明苑 三室 房屋北面有窗户 房子比同户型多七个平方。,朝阳综合市场，大润发，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,此房产权清晰。无抵押，房东对付款无要求，按照正常首付就可以。诚心出售,,,此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,,,,,,,,,,
18,华润国际四期 精装3房 全天采光 诚心售,165万,14649,天宁区茶山,华润凯旋门,3室2厅1厨2卫,高楼层 (共34层),112.64㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯两户,有,暂无数据,2024-02-17,商品房,2017-05-31,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,比价全小区，全天采光，地段好，出行方便，新小区居住舒..,华润万象城，丽华大润发，凤凰公园，连锁酒店，蔷薇湿地公园，各大银行，各类小吃美食一应,,距离地铁1号线茶山站，步行大概1公里左右。距离6路公交车华润站，步行大概600米左右。,,,,此房业主诚心出售，不在常州发展了，产权清晰，证件齐全，看房方便，放心购买。,,,,,,,,
19,弘阳天下锦 开发商精装三大件齐，密码钥匙随时看房,170万,15246,天宁区茶山,弘阳天下锦,3室1厅1厨2卫,低楼层 (共33层),111.51㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-01-08,商品房,2021-02-01,普通住宅,暂无数据,共有,有抵押 100万元,已上传房本照片,弘阳天下锦 开发商精装三大件齐，密码钥匙随时看房,位于朝阳成熟商圈，配套齐全，银行，医院，饭店，小吃，吃喝玩乐都全。,,,小区旁成熟社区，配套设施齐，菜场、娱乐场所、公园、银行、医院，适宜居住,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.3％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,,,,,,,,,
20,朝阳二村 朝南 2楼 价格可以谈,58万,8357,天宁区茶山,朝阳二村,3室1厅1厨1卫,中楼层 (共4层),69.41㎡,平层,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-12-05,商品房,2023-12-05,普通住宅,未满两年,共有,无抵押,已上传房本照片,此房满五唯一，格局好，采光好，户型方正 ，配套全，交通便利。,丽华大润发，连锁酒店，湿地公园，各大银行，各类小吃美食一应俱全,,,小区生活实施齐全，商场，，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足。,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税。,,,,,,,,,,
21,天鹅湖花园 3室2厅 南,118万,10449,天宁区茶山,天鹅湖花园,3室2厅1厨1卫,高楼层 (共28层),112.93㎡,平层,暂无数据,塔楼,南,钢混结构,其他,两梯五户,有,暂无数据,2024-03-18,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,,,
