,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,交通出行,房源核验码,查询房管备案记录,户型介绍,周边配套,适宜人群,装修描述,权属抵押,别墅类型,售房详情
0,绿地一期小高层  中间楼层  采光无遮挡 诚心出售,93万,10684,钟楼区新闸,绿地世纪城B区,3室2厅1厨1卫,中楼层 (共11层),87.05㎡,平层,70.84㎡,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2023-05-31,商品房,2013-11-19,普通住宅,暂无数据,共有,有抵押 30万元,已上传房本照片,此房满五中间楼层 户型方正 小区生活便利,绿地世纪城占地面积409亩，总建筑面积约76万平米，位于龙城大道、龙江路交汇处，飞龙居住区，距市政府道路距离约4公里。借助龙城快速干道、长江路可快速抵达市；社区内规划物业品类丰富，集中布置小高层、高层、联排别墅,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,,,,,,,
1,绿地世纪城三期精装两房低总价业主诚心出售满五省税,76.8万,9639,钟楼区新闸,绿地世纪城A区,2室2厅1厨1卫,中楼层 (共33层),79.68㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-08-20,商品房,2016-09-01,普通住宅,暂无数据,非共有,有抵押 15万元,已上传房本照片,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,042487288797,此房满五唯一省税，低总价两房业主诚心出售,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,,,,
2,光明当代拾光里三房，户型正采光足,123万,12220,钟楼区新闸,光明当代拾光里,3室2厅1厨2卫,中楼层 (共16层),100.66㎡,平层,暂无数据,板楼,南 北,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-09-20,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,光明当代拾光里，次新小区，中间楼层，采光无遮挡,小区环境优雅，绿化好天然氧吧，水气充足空气好，配套成熟，居住舒适。人文素养好，宁静和谐，好环境总会给人带来好心情。,1.契税:首套房90平以下 1%，90平以上1.5%；二套房90平以下1%，90平以上2%；三套房不论面积统一3%。2.增值税： 满两年不论面积全免，不满二年收全额的5.3%。3.个人所得税：满两年1%，满五唯一免个人所得税。,,,,,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,,,,
3,光樾华庭纯毛坯两卫户型低于入手价卖诚售看房有钥匙,132万,12572,钟楼区新闸,光明光樾华庭,3室2厅1厨2卫,高楼层 (共26层),105㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-02-19,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 80万元,未上传房本照片,此房暂时不满两年，业主诚心卖，随时可以看房,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,
4,荷樾府 精装修 中间楼层 采光好 房东自住 看房提前约,113万,12329,钟楼区新闸,光明荷樾府,3室2厅1厨1卫,中楼层 (共17层),91.66㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-10-11,商品房,2022-04-06,普通住宅,未满两年,共有,有抵押,已上传房本照片,公园旁 客厅宽敞舒适，使用率高 ，朝南户型,,,龙城高架和龙江路高架，沟通南北，贯穿东西，交通便利，出行无忧,,,户型 朝南舒适，全天采光。房型方正视野好。干湿分离 格局分明,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐 总价低、首付低，高享受,中等装修，现代风格装修，层次分明，空间利用好，稍改造，即可拎包住。,,,
5,绿地世纪城二期 户型方正 房东诚售 可看房,112万,9209,钟楼区新闸,绿地世纪城c区,3室2厅1厨1卫,高楼层 (共33层),121.63㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-12-24,商品房,2017-12-15,普通住宅,暂无数据,共有,无抵押,已上传房本照片,户型好，朝南舒适，全天采光。房型方正视野好。干湿分离 格局..,配套公园，地铁，步行！商场，天街，步行！医院，电动车！设施完善。 小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 市 美食等 人文素养好，乐于助人，相处和谐,,,,,户型好，朝南舒适，全天采光。房型方正视野好。干湿分离 格局分明。 户型朝南舒适，全天采光。房型方正视野好。客厅宽敞舒适，使用率高 卧室温馨,配套公园，地铁，步行！商场，天街，步行！医院，电动车！设施完善。 小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 市 美食等 人文素养好，乐于助人，相处和谐,,,,,
6,绿地世纪城 复试上下两层 随时看房 民用水电 70年产权,66万,9117,钟楼区新闸,绿地世纪城B区,2室1厅1厨1卫,高楼层 (共11层),72.4㎡,复式,暂无数据,塔楼,西,钢混结构,精装,一梯十七户,有,暂无数据,2024-01-21,商品房,2020-05-11,普通住宅,暂无数据,非共有,有抵押 60万元 江南 客户偿还,已上传房本照片,绿地世纪城 精装2房 户型好 三朝南 采光好 无遮挡 配套齐全,此房户型方正，卧室朝南，明厨明卫， 开间大 采光充足位置好，闹中取静，出入方便 ，业主诚心出售,,绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,,小区配有2000平米的农贸综合市场，1900平米的市及其他连锁市，占地8000平米的幼儿园，及约20000平方米的商铺,,,,,
7,绿地大两室双阳台 户型方正.采光充足 交通便利.配套全,90万,8143,钟楼区新闸,绿地世纪城A区,2室2厅1厨1卫,中楼层 (共27层),110.53㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,两梯三户,有,暂无数据,2023-06-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正.采光充足 交通便利.配套齐全,绿地世纪城占地面积409亩，总建筑面积约76万平米，位于龙城大道、龙江路交汇处，飞龙居住区，距市政府道路距离约4公里。借助龙城快速干道、长江路可快速抵达市；社区内规划物业品类丰富，集中布置小高层、高层、联排别墅,"1.税费信息
A.首套 90平以下1%
B.首套90平以上1.5%
C.二套90平以下1%
D.二套90平以上2%
E.三套或以上3%

2.增值税：满2年免征，不满2年全额征收5.3%

3.个人所得税：不满5年征1%，满5且家庭 住房，省个税",天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,,,,,,,
8,此房户型方正 采光好 业主诚心出售,118万,9077,钟楼区新闸,绿地世纪城A区,3室2厅1厨2卫,中楼层 (共27层),130㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,两梯三户,有,暂无数据,2023-05-05,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房户型方正 采光好 业主诚心出售,小区环境优美，与青枫公园、童子河休闲观光绿化带相望，为社区居民提供了优美的生活环境。绿地社区有着完善的硬件设施，内设服务大厅、警务室、活动场所、便民服务点等.,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,,户型方正，格局分布合理，格局好，通透性强，居住舒适；南北朝向，视野开阔，采光透亮,,,,,,
9,光明荷樾府 毛坯三房 中间楼层 看房方便,110万,12054,钟楼区新闸,光明荷樾府,3室2厅1厨1卫,中楼层 (共18层),91.26㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-10,商品房,2023-02-27,普通住宅,未满两年,共有,有抵押 80万元,已上传房本照片,客厅宽敞舒适，使用率高 ，朝南户型,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行  美食等 人文素养好，乐于助人，相处和谐,,,,,户型 朝南舒适，全天采光。房型方正视野好。干湿分离 格局分明,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,,,,
