,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,适宜人群,周边配套,交通出行,户型介绍,装修描述,权属抵押,售房详情,税费解析,小区介绍,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格,别墅类型
0,地铁口好房，洋房顶复精装，全屋空调地暖净水拎包入住,290万,16237,新北区河海,长兴好日子家园,4室2厅1厨2卫,高楼层 (共11层),178.61㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,有,暂无数据,2023-10-26,商品房,2009-03-30,普通住宅,暂无数据,共有,无抵押,已上传房本照片,小区离地铁口新区公园站200米，方便看房价格可谈,适宜改善家庭，对小区要求比较高对客户，适宜对小区绿化，物业要求比较高的客户,地铁1号线，东海菜场500米，汉江路美食一条街300米。新区公园200米。四大银行200米,地铁1好线新区公园站200米，高速入口2公里，公交站台500米,,,,,,,,,,,,
1,新区公园旁 好楼层 大3房 家具家电全 通透 采光好,115万,9659,新北区河海,燕阳花园,3室2厅1厨1卫,中楼层 (共7层),119.07㎡,平层,暂无数据,板楼,南,混合结构,简装,暂无数据,无,暂无数据,2023-01-29,商品房,2005-03-16,普通住宅,暂无数据,共有,无抵押,已上传房本照片,房子户型很好，位于中间楼层，阳光满满，3个大房间，客厅带阳台,,,,房子是3房2厅1卫格局，餐厅和客厅位于南北动线，通风很好。客厅带阳台，阳光好。3个房间都很大，两个朝南，一个朝北,房子装修保养好，家具家电都留，家电都可以正常使用，可以直接入住,该房已满五年，房子产权清晰，没有贷款，没有抵押，可正常买卖过户,,,,,,,,,
2,地铁口  珠江花园舒适3房2厅1卫,89万,9369,新北区河海,珠江花园,3室2厅1厨1卫,中楼层 (共7层),95㎡,平层,暂无数据,塔楼,南 北,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-06-29,商品房,2016-07-16,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,珠江花园位于地铁口，小区环境优雅，配套成熟，交通便利,,"门口就是地铁，生活设施齐 ，农贸菜场, 商场, 饮食近在咫尺, 生活起居很方便。门口就是地铁",,,,,业主目前在别的城市工作，生活，所以诚意出售此房，价格看中可谈。,小存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收..,,,,,,,
3,锦绣天地毛坏两房 中高楼层 老区政府位置,102万,13871,新北区河海,锦绣天地,2室2厅1厨1卫,高楼层 (共34层),73.54㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯三户,有,暂无数据,2023-10-25,商品房,2020-03-09,普通住宅,暂无数据,共有,无抵押,已上传房本照片,离环球港1公里   万达 1公里,,"老区政府位置   离环球港1公里  离万达1公里   北边三井第二实小   河海实验  龙城  
曼哈顿 就在咫尺    出门公园",,小户型中的  阳台在客户    全天采光  楼间距大   选择这个位置好,,,"房东 诚心 卖
基本毛坯  自己按照自己喜欢的风格装修
阳台在客厅
看房方便  
有钥匙",,,,,,,,
4,新北万达旁朗诗绿郡五恒科技系统房精装房东诚售,339.8万,21231,新北区河海,朗诗绿郡花园,4室2厅1厨2卫,中楼层 (共31层),160.05㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-04-18,商品房,2018-03-12,普通住宅,满五年,非共有,有抵押,已上传房本照片,满五年 配套齐全 业主诚心 三恒系统 交通方便 五星物业,本房是科技住宅，恒湿恒温恒氧，四季如春，24小时过滤通风换气合适各种人群居住,本小区位于新北万达和江南环球港之间，有三个菜场解决你做饭之忧，还有沃尔玛和乐购2个大型生活用品店 生活便利,,,,,,,朗诗绿郡是南京朗诗置业在新北开发的住宅小区，小区秉承科技住宅住宅理念，打造恒湿恒温恒氧生态环境,,,,,,
5,急售！中间楼层 采光无遮挡 户型方正 自住装修,188万,15495,新北区河海,吟枫苑东区,3室2厅1厨2卫,高楼层 (共28层),121.33㎡,平层,93.37㎡,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2022-04-12,商品房,2017-02-20,普通住宅,满五年,共有,有抵押 76万元 银行 客户偿还,已上传房本照片,中间楼层 采光无遮挡 户型方正 自住装修,,旁边新区公园 恐龙园 新北万达广场 江南环球港 五星酒店 银行 地铁口 BRT 都很方,,户型很方正 中上楼层 全天采光无遮挡 通透效果很好 三开间朝南,,,,,小区环境好 小高层 绿化好 停车方便 24小时保安巡逻 交通方便,,,,,,
6,河海片区优质地段，优质楼层，房屋保养的很好。,82万,12363,新北区河海,燕兴新村东区,2室1厅1厨1卫,低楼层 (共6层),66.33㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-05-10,商品房,2017-05-26,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房满五唯一，楼层好，装修保养的很好，交通便利。,楼层较低，配套齐全，适合老人养老，三口之家购置。贷款方式不限，房主能自主结清贷款。,环球港，万达，恐龙园，地铁1号线，近距离医院银行，读书方便。,,"两房朝南，客厅、洗浴明卫、厨房一线。
低楼层方便老人小孩居住，老小区农贸市场，商场，交通配套成熟。",,,,,,,,,,,
7,此房源适合一家三代人的居住  看房方便,169万,13862,新北区河海,长兴好日子家园,3室2厅1厨2卫,低楼层 (共18层),121.92㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯三户,有,暂无数据,2022-11-09,商品房,2008-01-28,普通住宅,暂无数据,非共有,有抵押 银行经营贷,已上传房本照片,近地铁1号线，楼层佳，采光好，离万达广场，环球港近,,,,户型方正，格局分布合理，格局好，通透性强，居住舒适；南北朝向，视野开阔，采光透亮,,,,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五唯一免个人所得税,小区环境优美，与新区公园、环球港，万达相近，为社区居民提供了优美的生活环境。社区有着完善的硬件设施，内设服务大厅、警务室、活动场所、便民服务点等.,,,,,,
8,中创时代广场 精装不到一年 下楼就是通江路 交通便捷,62万,6296,新北区河海,中创时代广场,3室1厅1厨1卫,高楼层 (共21层),98.48㎡,平层,暂无数据,板塔结合,西南,钢混结构,精装,三梯十二户,有,暂无数据,2023-02-09,商品房,2019-07-12,普通住宅,暂无数据,非共有,有抵押 18万元,已上传房本照片,地段好，交通方便，通江路旁。万达和环球港步行能到。,,,,,装修新，保养得好，配套齐全，房子打扫的干净清爽，拎包就能入住。,,,"非住宅：
契税，成交价的3%；
增值税及附加，差额的5.6%，另附加税额12%；
个人所得税，差额的20%；
印花税，全额的5%或清算；
土地增值税，全额的30%或清算。",小区地理位置好，出小区就是地铁口、市民广场、奥体中 心，交通、生活、健身、娱乐，都很方便。小区绿化多，物业管理严格，居住舒适。,,,,,,
9,房子满五唯一，业主诚心出售。。。,165万,13555,新北区河海,繁華里,3室2厅1厨2卫,低楼层 (共33层),121.73㎡,暂无数据,96.84㎡,板塔结合,东 西,钢混结构,简装,两梯四户,有,暂无数据,2021-10-17,商品房,2015-12-09,普通住宅,满五年,共有,有抵押 20万元,已上传房本照片,"房子满五唯一,户型周正,格局分布合理,空间感好,通透性强",,"地下停车库,停车位充足,二十四保安巡逻,菜场,商场,银行等配套设施齐 全,生活方便快捷,交通便利 售房详情小区地理位置佳,绿化好,居民素质高,有健身器材,活动场所,建有地上停车场和 房东置换,诚心出售,看房提前约就好。房子看满意了价格可以谈。",,,,,,契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5 年征1%,小区地理位置绿化居民素质高配套:有健身器材小型篮球场可供小区居民使用车 位:停车位充足建有地上停车场和地下车库保安:小区内24保安巡逻,,,,,,
