,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,适宜人群,售房详情,税费解析,房源核验码,查询房管备案记录,户型介绍,交通出行,小区介绍,周边配套,权属抵押,用水类型,用电类型,装修描述,别墅类型,燃气价格
0,三江公园 小高层 106.4平方 三房二卫,155万,14568,新北区龙虎塘,牡丹·三江公园,3室2厅1厨2卫,中楼层 (共12层),106.4㎡,平层,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-12-25,商品房,2022-01-13,普通住宅,满两年,非共有,有抵押,已上传房本照片,楼层好，视野开阔，采光充足，配套设施齐全，交通便利,纯商品房社区，比较适合在附 近上班而且对生活质量要求比较高的一类人群，因为这个小区是纯住宅，都是自住,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主 家庭和睦，等待有缘人接盘，房屋买卖交易问 题可以随时致电垂询。竭诚为您服务。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,,,,,,,,
1,恐龙园旁 锦珑湾花园 精装3房 业主外地发展 诚心出售,125万,11385,新北区龙虎塘,锦珑湾花园,3室2厅1厨1卫,中楼层 (共19层),109.8㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-07-26,商品房,2016-03-12,普通住宅,满五年,共有,有抵押 22万元,已上传房本照片,业主现在诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，可谈。,,1、契税：首套房，90平米以下成交价1%，90平米以上成交价的1.5%。二套房90平以上成交价的2%。 2、增值税：产证满2年免收增值税，未满2年征收5.6%。 3、个税：产证满5年而且是唯一一套住房，免收个税，未满5年，成交价的1%,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,112436976533,楼层好，视野旷阔，采光充足，交通便利,,,,,,,,,,
2,好楼层 全天采光 房东诚意出售 地铁常外环球港,210万,16407,新北区龙虎塘,牡丹·水岸国际,3室2厅1厨2卫,高楼层 (共18层),128㎡,平层,暂无数据,暂无数据,南,钢混结构,简装,两梯三户,有,暂无数据,2023-06-20,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 100万元,未上传房本照片,南北通、三面采光、全方位景观，愉悦心情与每一位家人即时分.,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,,主卧大宽阳台，让阳光筑慵懒小巢卫浴；主卧飘窗设计，让生活起居真正接近阳光；非凡境界对话无边阔景,门口地铁，BRT，交通便利，距离环球港一个红绿灯，距离三江公园一个红绿灯。,,,,,,,,
3,环球港旁  美林湖龙门里 116平方 精装 三房二卫,145万,12510,新北区龙虎塘,美林湖龙门里,3室2厅1厨1卫,低楼层 (共22层),115.91㎡,平层,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-12-06,商品房,2022-12-12,普通住宅,未满两年,非共有,有抵押 120万元,已上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,,,,,
4,新上，九洲花园二期，顶复，看房有钥匙，配套齐全,128万,10365,新北区龙虎塘,九洲花园南区,3室2厅1厨1卫,高楼层 (共18层),123.5㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-04,商品房,2024-03-04,普通住宅,未满两年,共有,有抵押,已上传房本照片,此房满五年，三朝南，精装修，楼层好，配套齐全，价格实惠,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,,,,,
5,九洲花园南区 3室2厅 南,118万,11133,新北区龙虎塘,九洲花园南区,3室2厅1厨1卫,高楼层 (共27层),106㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,两梯三户,有,暂无数据,2024-03-18,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,,,
6,急售房东调动工作 精装修 价格可谈,168万,16968,新北区龙虎塘,江山樾花园,3室2厅1厨2卫,低楼层 (共20层),99.01㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-07-16,商品房,2021-07-26,普通住宅,满两年,共有,有抵押 88万元 江苏银行 客户偿还,已上传房本照片,房子是精装 房东工作调动急售 看房方便,,,业主诚意出售，手续齐全，价格公道，看房方便，随时恭候。 1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,户型周正，格局分布合理，空间感好，通透性强，居住舒适，精装修双阳台,小区生活设施齐全 菜市场、银行、，交通便捷；BRT 地铁一号线 2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安,,,,,,,,
7,公园旁纯毛坯2房，户型方正楼层好。有钥匙,76万,8630,新北区龙虎塘,祥龙苑,2室1厅1厨1卫,高楼层 (共18层),88.07㎡,暂无数据,74.08㎡,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-08-06,商品房,2012-04-20,普通住宅,暂无数据,非共有,有抵押 18万元 江南,已上传房本照片,此房格局方正，无浪费面积。视野宽阔，采光充足，配套设施齐全,,房东人在外地需要换房，诚心卖有钥匙随时看房。纯毛坯随心装修，价格看上好谈,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,,,,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，隔壁公园， 小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利,,,,,,
8,牡丹三江公园  毛坯三房  诚心出售  舒适三居,148万,12543,新北区龙虎塘,牡丹·三江公园,3室2厅1厨2卫,中楼层 (共13层),118㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-11-16,商品房,2022-01-01,普通住宅,暂无数据,共有,有抵押 60万元,已上传房本照片,楼层好，视野开阔，采光充足，配套设施齐全，交通便利,纯商品房社区，比较适合在附 近上班而且对生活质量要求比较高的一类人群，因为这个小区是纯住宅，都是自住,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主 家庭和睦，等待有缘人接盘，房屋买卖交易问 题可以随时致电垂询。竭诚为您服务。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,,,,,,,,
9,次新小区 出门就是地铁 近环球港 中间楼层 看房联系,165万,15935,新北区龙虎塘,牡丹·水岸国际,3室2厅1厨1卫,中楼层 (共18层),103.55㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2023-04-24,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 50万元,未上传房本照片,精装修，交通便捷，设施齐全，门口就是地铁口，BRT,,,税费解析： 存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税..,,,"户型周正，格局分布合理，空间感好，通透性强，居住舒适,一梯两户，总层高18层的小高层，得房率高。",小区生活设施齐全 ，菜市场、银行、，交通便捷；BRT 地铁一号线 2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡,,,,,,,,
