,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,权属抵押,适宜人群,户型介绍,周边配套,售房详情,交通出行,房源核验码,查询房管备案记录,装修描述,别墅类型,用水类型,用电类型,燃气价格
0,飞龙吾悦旁大名城西区合理改善 4房3卫 中间楼层,220万,12774,新北区三井,大名城西区,4室2厅1厨3卫,中楼层 (共38层),172.23㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯两户,有,暂无数据,2022-07-07,商品房,2021-01-07,普通住宅,暂无数据,共有,有抵押 160万元 平安银行 客户偿还,已上传房本照片,此房通风性好，前后双阳台，户型方正，中间楼层采光好!,小区人车分流，共计18栋高层，绿化高，环境优美，平时可以在小区里跑跑步，散散心！,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上，成交价的3%；2、个税：产证满五唯一，免收个税，不唯一交成交价的1%",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同！,,,,,,,,,,,,
1,百草苑 总高9层 此房中间楼层 房东诚心出售 有钥匙,95万,11771,新北区三井,百草苑,2室1厅1厨1卫,中楼层 (共9层),80.71㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯两户,有,暂无数据,2023-11-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小高层楼栋位置好 总高9楼 5楼 主要房东人好 诚心出售 价格好谈,,税费解析：产权清晰 满二年 仅交契税和个人所得税就可以了 个人所得税：1% 契税看买方名下套数：首套1.5% 二套2% 三套及以上3%,,适合养老，有电梯，配套齐全，有菜市场、公园、不临街、距离社区医院近，小区内还有老人活动区和养老服务,户型方正 房子格局也很合理  位置好 采光佳 交通便利 风景怡人,,,,,,,,,,
2,新市府飞龙吾悦万和城旁，银一城采光好，不靠铁路位佳,100万,10846,新北区三井,银河湾第一城一期,3室2厅1厨1卫,高楼层 (共24层),92.2㎡,平层,72.6㎡,板塔结合,南,钢混结构,简装,两梯三户,有,暂无数据,2023-11-17,商品房,2015-08-05,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,新市府飞龙吾悦万和城旁，银一城采光好，3房不靠铁路位佳,,房子为商品房，满2年 ，面积大于90平，首套房契税为1.5% 二套房的契税为2% 三套及以上为3%,,"1，小区是封闭式管理小区，配有大花园，环境优美，24小时的安保，儿童游乐设施，门口就有幼儿园，接娃方便。,
2，小区成熟，购物交通便利，上学近，步行就可到达
3，适合预算有限，想给孩子一个较好小区环境的年轻家庭。","1，户型方正，格局分布合理，空间感好，通透性强，居住舒适
2，楼层位置不影响采光，
3，2个卧室朝南，温馨舒适。
4，全屋主功能间都带有窗户，明厨明卫，更响亮。","距离飞龙公园仅800米，距离飞龙吾悦直线距离仅1000米，距离麦德龙大卖场仅1800米。龙城高架近在咫尺，出小区门口行驶两百米直接可以上高架了。距离高铁北站仅5千米，出行方便
小区门口自带中型生活市场常鲸和乐瑞家，多种品牌小吃，购物和生活都很便利。",,,,,,,,,
3,奥体旁水木年华大三房 业主诚售,146万,11699,新北区三井,水木年华,3室2厅1厨2卫,低楼层 (共18层),124.8㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-07-06,商品房,2013-03-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,,,,,离恐龙园600米 社区医院：工商银行、中国银行、建设银行其他：小区门口小吃，饭店多，兼顾口味多，小区内部配套：离横塘河湿地公园很，交通便利，出行方便,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,小区门口永安共享出行方便， 小区门口就是公交车站台，公交车出行可以选择 Y2路; 53路; 50路；99路；302路；527路,,,,,,,
4,雅居乐星河湾 婚装大四房 未入住 有地暖 有大露台,245万,18390,新北区三井,雅居乐星河湾,4室2厅1厨2卫,低楼层 (共33层),133.23㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-08-20,商品房,2018-06-09,普通住宅,满五年,共有,有抵押 50万元,已上传房本照片,雅居乐星河湾是人车分流小区 物业管理好 24小时安保，绿化环境优美。,雅居乐星河湾小区东北角是雅居乐星河湾幼儿园，可以满足日常孩子上学的需要，距离麦德龙只有800米，可以满足日常购物的需要。,,,,,此房只有正常的银行按揭贷款，无其他抵押和银行查封情况，产权清晰 随时可以签约,,,112400506874,满五唯一 通透格局，楼层好，视野开阔，采光较好，配套设施齐全,,,,,
5,新城府翰苑好房出售位置好采光好看房方便,208万,16553,新北区三井,新城府翰苑西区,3室2厅1厨1卫,高楼层 (共18层),125.66㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-08-30,商品房,2007-11-23,普通住宅,满五年,共有,无抵押,已上传房本照片,户型方正.采光充足.交通便利.配套齐全,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,,,,,,,,
6,精装修 房东 诚心卖  满五唯一,128万,11852,新北区三井,绿洲家园,3室2厅1厨1卫,低楼层 (共11层),108㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-05-20,商品房,2017-10-26,普通住宅,暂无数据,共有,有抵押 20万元,已上传房本照片,奥体旁 精装修 3房 电梯房  采光很好 新北    随时看房 边户，,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",此房 产权清晰，交易简洁方便 全程过户陪同 。。。。。。。。,,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,,,,,,,,
7,百草苑房东诚心出售，价格可谈。,96.8万,11834,新北区三井,百草苑,2室2厅1厨1卫,低楼层 (共10层),81.8㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,一梯两户,有,暂无数据,2023-10-09,商品房,2010-02-21,普通住宅,暂无数据,共有,有抵押 5万元,已上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,目前在常州首房首贷首付3成，二贷首付6成，税费：契税：首套90平以下1个点，90以上1.5，二套90以下还是1个点，二套90以上2个点，3套不计面积都是3个，个税：房子满五唯一免征，不唯一1个点。增值税：满二：免征，不满二5.3增值税,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,恐龙园，迪诺水镇，世茂广场，百草园菜市场，出门即是市，菜市场，公交站等,,,,,,,,,
8,毛坯房、满两年免增值，视野开阔，房东诚心出售,160万,14054,新北区三井,怡盛花园,3室2厅1厨2卫,高楼层 (共31层),113.85㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2020-11-05,商品房,2018-12-07,普通住宅,满五年,共有,有抵押 53万元 公积金 客户偿还,已上传房本照片,1、地理位置优越，交通便利，出门就有公交站点，绿化优美，小区环境幽静。 2、小区周 边生活设施齐全，各大银行、*市、菜场、商场、饮食近在咫尺，生活起居非 常的方便。 3、小区东门有太湖综合市场和汇丰菜场。中国银行，中国工商银行，中国农业银行等,距离湿地公园仅1500米，距离万达广场直线距离仅1000米，距离麦德龙大卖场仅800米。龙城高架近在咫尺，出小区门口行驶两百米直接可以上高架了。距离高铁北站仅5千米，出行方便,,,,,乘坐B1、B12路公交车至通江路龙城大道站下车； 乘坐11、13、18、32路公交车至麦德龙站下车；乘坐36、47路公交车至三井站下车。 驾车：通江大道、兴业路、泰山路等多条线路构成立体通路脉络。,,,112471247808,毛坯房、满两年免增值，视野开阔，房东诚心出售,,,,,
9,奥体旁 百草苑 精装两房 房东诚心出售,102万,12568,新北区三井,百草苑,2室2厅1厨1卫,低楼层 (共9层),81.16㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-06-02,商品房,2019-07-09,普通住宅,暂无数据,共有,有抵押 60万元 客户偿还,已上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,目前在常州首房首贷首付3成，二贷首付6成，税费：契税：首套90平以下1个点，90以上1.5，二套90以下还是1个点，二套90以上2个点，3套不计面积都是3个，个税：房子满五唯一免征，不唯一1个点。增值税：满二：免征，不满二5.3增值税,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,恐龙园，迪诺水镇，世茂广场，百草园菜市场，出门即是市，菜市场，公交站等,,,,,,,,,
