,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,户型介绍,税费解析,适宜人群,周边配套,小区介绍,交通出行,装修描述,权属抵押,别墅类型,房源核验码,查询房管备案记录,用水类型,用电类型
0,新桥新欣嘉园 低价出售 钥匙在手 随时看房,58.8万,6884,新北区小新桥,新桥新欣嘉园,2室1厅1厨1卫,低楼层 (共20层),85.42㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-12-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,新桥新欣嘉园 低价出售 钥匙在手 随时看房,诚心置换故此出售，忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务,全明户型，南北通空间， 惬意悠享假日生活；方正通透 没有浪费面积 功能实用,存量房需要缴纳个人所得税1%。契税若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。不满两年需缴纳5.3%增值税,,,,,,,,,,,
1,高铁新城板块 清水湾大三房 精装修 好楼层,138万,10860,新北区小新桥,清水湾花园三期,3室2厅1厨2卫,低楼层 (共34层),127.08㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2024-01-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房 楼层好 精装修 拎包可住,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主 家庭和睦，等待有缘人接盘,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐,,,,,,,,,,
2,清水湾三期 精装两房 业主诚心出售,100万,12403,新北区小新桥,清水湾花园三期,2室1厅1厨1卫,中楼层 (共34层),80.63㎡,平层,61.02㎡,塔楼,南,钢混结构,精装,两梯三户,有,暂无数据,2024-02-23,商品房,2014-12-11,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,全明设计，居住舒适，空间设计利用合理，随时可看,,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,纯商品房社区，比较适合在附 近上班而且对生活质量要求比较高的一类人群，因为这个小区是纯商品房住宅，居住舒适环境优雅！,配套齐全，交通方便。小区旁公交站台近在迟尺，菜场，商场，人才市场，医院，公园一应俱全,,,,,,,,,
3,小新桥 新景二期 精装装 小户 房东急售,95万,14713,新北区小新桥,新景花苑二期,1室2厅1厨1卫,中楼层 (共11层),64.57㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-22,商品房,2021-01-06,普通住宅,暂无数据,共有,有抵押 80万元 银行 业主自还,已上传房本照片,此房楼层好 户型好 精装修  带地暖，带新风，实木家具,,,关于税费主要与买方有关，契税根据买方名下几套房决定；首套房1.5% 二套房2% 三套房3%,,,小区生活设施齐全，商场、菜市场、银行，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有停车场,环球港、万达、丰臣综合商场、长江贸易、奔驰宝马4S店 银行：中国银行、农业银行、工商银行 游乐设施：恐龙园,,,,,,,
4,新桥 纯毛坯 锦海星城 大三房 房东诚售,122万,9304,新北区小新桥,锦海星城,3室2厅1厨2卫,低楼层 (共22层),131.14㎡,平层,104.45㎡,板塔结合,北,钢混结构,毛坯,两梯四户,有,暂无数据,2020-08-09,商品房,2011-03-07,普通住宅,满五年,共有,有抵押 10万元 中国银行 业主自还,已上传房本照片,全明户型，南北通空间，惬意悠享假日生活,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘， 我是贝壳小聂，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,,,
5,精装修看房方便   采光刺眼  欢迎随时看房,138万,11215,新北区小新桥,滨江明珠城,3室2厅1厨2卫,低楼层 (共22层),123.05㎡,平层,99.56㎡,板塔结合,南 北,钢混结构,简装,两梯四户,有,暂无数据,2021-04-15,商品房,2010-09-06,普通住宅,暂无数据,共有,无抵押,已上传房本照片,全明户型通透，通透性强，采光好   户型方正，布局合理,,全明户型通透，通透性强，采光好    户型方正，布局合理，无浪费面积,,小区地理位置优越  适合刚需置换人群    欢迎随时看房111,,,,中等装修  因为小区有12年左右所以装修需要重新做软装  如果要求高的话可以重新装修  欢迎随时能看房,,,,,,
6,方正通透大面宽，视野宽阔采光无遮挡配套设施齐全,153万,10858,新北区小新桥,滨江明珠城,3室2厅1厨2卫,中楼层 (共22层),140.92㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2022-02-08,商品房,2018-04-26,普通住宅,暂无数据,非共有,有抵押 / 业主自还,已上传房本照片,方正通透大面宽，视野宽阔采光无遮挡，配套设施齐全,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,发现生活温度，适合刚需、改善、婚房等需求，即买入住即享受。 论一位经纪人的自我修养，此房源值得推荐,,,,发现生活温度，适合刚需、改善、婚房等需求，即买入住即享受。 论一位经纪人的自我修养，此房源值得推荐,,,,,,
7,高铁新城 清水湾三期 西边户 大三房 房东 诚售,150万,11551,新北区小新桥,清水湾花园三期,3室2厅1厨2卫,低楼层 (共27层),129.87㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-08-18,商品房,2012-08-09,普通住宅,暂无数据,共有,有抵押 15万元 中国银行 业主自还,已上传房本照片,此房配套齐全 装修好 采光很好 随时可看拎包入住,,此户型南北通风效果好 没有浪费面积 动静区域分离 明厨明卫，客厅餐厅连通 空间感大居住舒适,,纯商品房社区，比较适合在附 近上班而且对生活质量要求比较高的一类人群，因为这个小区是纯住宅，居住舒适环境优雅,,,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。精致两房，全明设计，居住舒适，空间设计利用合理，拎包可住,,,,,,
8,锦海星城小两房 双阳台 拎包入住 看房方便,75万,10786,新北区小新桥,锦海星城,2室1厅1厨1卫,高楼层 (共22层),69.54㎡,平层,55.1㎡,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-11-09,商品房,2010-10-13,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房源户型方正，房东诚心出售可谈价，楼层光线好,业主现诚心出售，证件齐全，欢迎随时看房，随时恭候，如看中房子,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,
9,高铁新城 水韵江南 别墅 毛坯 大花园 房东 急售,508万,17140,新北区小新桥,水韵江南,6室3厅1厨3卫,低楼层 (共3层),296.39㎡,,暂无数据,,南 北,框架结构,毛坯,,,暂无数据,2022-03-30,商品房,2020-08-30,别墅,暂无数据,共有,有抵押 245万元 建行 业主自还,已上传房本照片,联排别墅，纯毛坯， 采光好，位置好，商圈配套比较成熟,房子没有贷款 个人产权，诚心出售，价格可以再谈，欢迎看房，随时恭候,,,,,小区安静舒适，环境优美，适宜居住 。配套设施完善、环境优美、高档花园洋房，常州产权别墅 .物业管规范，安保严格，人文素质高，配套设施..,出门就是共享单车，公交站，距离地铁一号线三四个红绿灯，离高铁站，汽车站也是挺近的，交通还是比较方便的。,,,联排,,,,
