,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,套内面积,房屋朝向,建筑结构,装修情况,别墅类型,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,售房详情,税费解析,权属抵押,户型结构,建筑类型,梯户比例,配备电梯,小区介绍,周边配套,房源核验码,查询房管备案记录,装修描述,交通出行,适宜人群
0,"此房格局好,南北通风户型,全天采光,户型方正视野好",415万,25000,金坛区西城街道,雅居乐山湖城,3室2厅1厨3卫,低楼层 (共2层),166㎡,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,2020-12-31,商品房,2020-11-03,别墅,暂无数据,非共有,无抵押,已上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,,,,,,
1,好房优选，设施齐全，孩子方便。,62.8万,5337,金坛区西城街道,梅园,3室1厅1厨1卫,高楼层 (共6层),117.67㎡,暂无数据,南,砖混结构,精装,,暂无数据,2022-09-19,商品房,2019-01-28,普通住宅,暂无数据,共有,无抵押,已上传房本照片,"此房格局好,小区配套完善，附带10多平车库。",,"此房还有11平米车库，业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子可谈。","首套房90平米以下成交价的1%90平米以上成交价的1.5%二套房90 平以下1%以上2%三套房不论大小均为3%增值税分析: 产证满2年免收增值 税,未满2年征收5.3%，个税: 产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同。",平层,塔楼,暂无数据,暂无数据,,,,,,,
2,金坛区云湖山庄别墅5-2-1-3 279.38m²,248万,8877,金坛区西城街道,云湖山庄,5室2厅1厨3卫,低楼层 (共6层),279.38㎡,暂无数据,南 北,未知结构,毛坯,,暂无数据,2022-04-22,商品房,2019-09-16,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,"房格局好,南北通风户型,全天采光,户型方正视野好,边户，有大院。",,"业主现诚心出售,证件齐,欢迎看房,随时恭候,。。。。。。。。。。。。。。。。",契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5 年征1%,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同。。。。。。。。。。。。。。。。。。。",复式,暂无数据,暂无数据,暂无数据,小区是别墅区，西边是茅山，北面是水库。房子是在风景区仙姑村西边，风景优美。,,,,,,
3,文化新村顶楼，双阳台没有公摊面积，有7平方车库,31.8万,4111,金坛区西城街道,文化新村,3室1厅1厨1卫,高楼层 (共5层),77.37㎡,77.37㎡,南,未知结构,简装,,暂无数据,2022-04-03,商品房,2016-04-12,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好",,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%","：
此房产权清晰,房源真实,业主诚心出售,目前在外地，有钥匙看房方便,",平层,暂无数据,暂无数据,暂无数据,房子的位置好，在市区，交通方便，停车方便，小区的南部有公园。商场。银行,,,,,,
4,此房保养好，南北通风，户型方正。。。,75.8万,6235,金坛区西城街道,凤凰城,3室2厅1厨1卫,中楼层 (共9层),121.59㎡,暂无数据,南,框架结构,精装,,暂无数据,2023-10-21,商品房,2010-05-21,普通住宅,暂无数据,共有,无抵押,已上传房本照片,房子保养好，通透，诚心出售，带露台。小区环境优美，干净！,,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5年成交价的1%",,平层,板塔结合,一梯三户,有,,房子的小区大门旁边有公共电助力车，小区大门旁边有公共车站。打滴滴也比较方便滴。,,,,,
5,"此房格局好,南北通风户型,全天采光,户型方正视野好",269.8万,27815,金坛区西城街道,雅居乐山湖城,3室2厅1厨2卫,低楼层 (共1层),97㎡,暂无数据,南,未知结构,精装,,暂无数据,2021-09-01,商品房,2020-05-29,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","此房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",平层,暂无数据,暂无数据,暂无数据,,,,,,,
6,文化 精装两室 面积虽小，但是五脏俱  拎包入住,34.6万,5961,金坛区西城街道,文化新村,2室1厅1厨1卫,高楼层 (共5层),58.05㎡,暂无数据,南,未知结构,精装,,暂无数据,2022-10-07,商品房,2021-06-08,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房面积虽小，但是五脏俱全，采光好 视野开阔 配套设施齐全,,,契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免。,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同。",平层,暂无数据,暂无数据,暂无数据,小区环境，绿化好，有老人休闲活动设施，小孩有嬉戏滑滑梯，设施齐全。,,,,,,
7,城北小区，低楼层，南北通透，有车库,51.8万,5547,金坛区西城街道,城北小区,2室2厅1厨1卫,中楼层 (共5层),93.39㎡,暂无数据,南 北,砖混结构,简装,,暂无数据,2023-06-12,商品房,2008-07-09,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,楼层好，户型好，交通方便，购物方便，上学方便，生活方便，,房子2室2厅1卫，两个卧室朝南，主卧18平米，带6平米阳台，次卧17平米，厨房8平米空间很大，卫生间朝北，大窗户，,房东换房，需要在外地买房，所以诚意出售，房子产权清晰，随时可以过户，,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,平层,塔楼,暂无数据,暂无数据,,,,,,,
8,四中相邻 城北小区 5楼 有人字顶 8平车库带窗户,49.8万,4612,金坛区西城街道,城北小区,3室2厅1厨1卫,高楼层 (共5层),108㎡,暂无数据,南,砖混结构,精装,,暂无数据,2023-11-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房满五唯一 格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,独立的客餐厅，层高有3米","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,平层,塔楼,暂无数据,暂无数据,,,,,,,
9,春风二村 106平 3室2厅1卫 高楼层 采光好 单价低,59.8万,5643,金坛区西城街道,春风二村,3室2厅1厨1卫,中楼层 (共6层),105.98㎡,暂无数据,南 北,砖混结构,简装,,暂无数据,2023-07-25,商品房,2007-01-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,小区大门前面有公园，晚上可以去运动。离公共车站近。小区西边有大型购物广场，购物方便。,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,平层,塔楼,暂无数据,无,,"套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5年成交价的1%。",132432966854,春风二村 106平 3室2厅1卫 高楼层 采光好 单价低 配套好,,,
10,城北小区 三室一厅一卫 85.54平方,33.8万,3952,金坛区西城街道,城北小区,3室1厅1厨1卫,高楼层 (共5层),85.54㎡,暂无数据,南 北,砖混结构,简装,,暂无数据,2022-04-27,商品房,2021-10-15,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,"卖点：
房格局好,南北通风户型,全天采光,户型方正视野好","户型介绍：
房格房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫局好,南北通风户型,全天采光,户型方正视野好","售房详情：业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子","税费解析：
首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,平层,塔楼,暂无数据,无,,,,,,,
11,"业主现诚心出售,证件齐,欢迎看房,随时恭候,价格可谈。",80万,6275,金坛区西城街道,金溪新村,3室2厅1厨1卫,中楼层 (共5层),127.5㎡,暂无数据,南 北,砖混结构,精装,,暂无数据,2021-05-26,商品房,2019-11-14,普通住宅,未满两年,非共有,无抵押,已上传房本照片,此房满五，楼层好，采光充足，公园边，通透户，看房便利 随时看,,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",暂无数据,塔楼,暂无数据,无,,小区位置好 交通便 小区地理位置 绿化 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位：助人，小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 ，商场， 美食等 人文素养好。,,,,,
12,凤凰城 2室1厅 南,72.8万,6692,金坛区西城街道,凤凰城,2室1厅1厨1卫,中楼层 (共9层),108.8㎡,暂无数据,南,框架结构,其他,,暂无数据,2023-10-07,商品房,2019-10-08,普通住宅,暂无数据,共有,无抵押,已上传房本照片,,,,,,平层,平房,暂无数据,暂无数据,,,,,,,
13,景阳花园顶复四室三厅两卫206平开价103万,94.8万,4602,金坛区西城街道,景阳花园,4室3厅1厨2卫,高楼层 (共6层),206㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2021-09-02,商品房,2013-09-06,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房子地理位置好，生活，出行都是很方便的。,"格局好,南北通风户型,全天采光,户型方正视野好,明厨明卫，敞亮通透",,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",复式,暂无数据,暂无数据,暂无数据,,,,,,,
