,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,税费解析,交通出行,户型介绍,房源核验码,查询房管备案记录,适宜人群,装修描述,周边配套,小区介绍,权属抵押,用水类型,用电类型,燃气价格,别墅类型
0,高铁新城 保利北郡 大四房 精装修 房东诚售,200万,15911,新北区新桥,金科·保利北郡花园,4室2厅1厨2卫,低楼层 (共18层),125.7㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-11-01,商品房,2020-11-04,普通住宅,暂无数据,共有,有抵押 100万元 建行 客户偿还,已上传房本照片,小区环境优美，绿化面积覆盖高，干净整洁，物业服务态度好,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,1、小区生活设施齐全，购物广场，菜市场、银行 交通便捷；地铁一号线 常州高铁北站 龙江高架 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,,,,,,,,,,,,
1,北郊 门口 中高层小三房 采光视野好,149.9万,15413,新北区新桥,碧桂园壹号天禧,3室2厅1厨1卫,高楼层 (共19层),97.26㎡,平层,72.82㎡,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-08-14,商品房,2020-12-11,普通住宅,暂无数据,非共有,有抵押 120万元 工商银行,已上传房本照片,此房为小区的景观楼栋，可俯瞰高铁新城，采光视野好,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取,交通方便，出门既是地铁一号线 公交站台，29路到达北直街，3公里可以到达青龙高速口，公交自驾出行都很方便,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕 间悄然停落；让阳光筑慵懒小巢卫浴。,,,,,,,,,,,
2,高铁新城 晶耀花苑 楼层好 户型好 精装修 随时可看,185万,14650,新北区新桥,牡丹蓝光晶曜,4室2厅1厨2卫,低楼层 (共26层),126.28㎡,平层,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-08-31,商品房,2023-06-24,普通住宅,未满两年,非共有,有抵押 150万元 商业银行 业主自还,已上传房本照片,全明户型，南北通空间，三开间朝南 惬意悠享假日生活；方正通透,,此房开发商精装修 为居住节约成本和装修时间，北房间可自己装修喜欢风格,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,112411083625,此房出入方便 楼层适中 户型好 精装修 随时可看,,,,,,,,,
3,精装大三房 高楼层 视野开阔 小区环境好,160万,13560,新北区新桥,碧桂园壹号天禧,3室2厅1厨1卫,高楼层 (共20层),118㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-06-23,商品房,2022-05-18,普通住宅,未满两年,共有,无抵押,已上传房本照片,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,,该房装修细致入微，业主家碧桂园统一交付精装。品牌家装建材、家具家电、卫浴、地板无不亲力亲为建选材，监工。,,,112478888803,精装大三房双阳台 高楼层 视野开阔 小区环境好,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、满五年唯一免个税1%,地铁一号线北郊站出门即达，公交BRT一应俱全 辽河路、华山路、长江路沪宁高速通达全城，高铁北站等交通工具。,,,,,,,
4,碧桂园壹号天禧，中间楼层，全天采光,138万,14522,新北区新桥,碧桂园壹号天禧,3室2厅1厨1卫,中楼层 (共20层),95.03㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,三梯六户,有,暂无数据,2023-09-05,商品房,2022-09-15,普通住宅,未满两年,非共有,有抵押 110万元,已上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,,,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,
5,碧玥和鸣，三房优势户型，采光充足 ，包增值税,189万,15292,新北区新桥,碧桂园光明·碧玥和鸣,3室2厅1厨2卫,低楼层 (共18层),123.6㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-07-14,商品房,2023-11-16,普通住宅,未满两年,非共有,有抵押 80万元,已上传房本照片,高铁新城，全明户型，视野宽阔 采光充足 交通便利,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,"存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购
房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。
二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税
均按照3%收取。",,,,,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,
6,高铁新城，全明户型，视野宽阔 采光充足 交通便利,195万,13770,新北区新桥,礼韵世家花园,3室2厅1厨2卫,低楼层 (共18层),141.62㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-10-04,商品房,2021-03-05,普通住宅,暂无数据,非共有,有抵押 90万元 兴业银行,已上传房本照片,高铁新城，全明户型，视野宽阔 采光充足 交通便利,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,"存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。
二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税
均按照3%收取。",,,,,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,
7,高铁新城，全明户型，视野宽阔 采光充足 交通便利,180万,15586,新北区新桥,弘阳上坤云峯,3室2厅1厨2卫,高楼层 (共29层),115.49㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-12-06,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,高铁新城，全明户型，视野宽阔 采光充足 交通便利,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,"存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购
房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。
二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税
均按照3%收取。",,,,,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,
8,高铁新城板块 清水湾小区 精装小三房 看房方便,135万,15239,新北区新桥,清水湾花园一期,3室1厅1厨1卫,低楼层 (共5层),88.59㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-03,商品房,2018-10-16,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,全明设计，居住舒适，空间设计利用合理，随时可看,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,,,,,纯商品房社区，比较适合在附 近上班而且对生活质量要求比较高的一类人群，因为这个小区是纯商品房住宅，居住舒适环境优雅！,,配套齐全，交通方便。小区旁公交站台近在迟尺，菜场，商场，人才市场，医院，公园一应俱全,,,,,,
9,清水湾花园二期 2室1厅 南,85万,10241,新北区新桥,清水湾花园二期,2室1厅1厨1卫,中楼层 (共26层),83㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2024-02-24,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 2万元,未上传房本照片,,,,,,,,,,,,,,,,
