,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,税费解析,周边配套,交通出行,小区介绍,户型介绍,别墅类型,售房详情,适宜人群,装修描述,权属抵押,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格
0,满五唯一 精装拎包入住，看房有钥匙,73万,9321,新北区薛家,新城•悠活城,2室1厅1厨1卫,低楼层 (共32层),78.32㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯五户,有,暂无数据,2023-08-21,商品房,2016-03-24,普通住宅,暂无数据,共有,有抵押 70万元 业主自还,已上传房本照片,满五唯一 精装拎包入住，看房有钥匙，户型方正 低楼层居住方便,1. 税费信息 A.首套 90平以下1% B.首套90平以上1.5% C.二套90平以下1% D.二套90平以上2% E.三套或以上3% 2.增值税：满2年免征，不满2年全额征收5.3% 3.个人所得税：不满5年征1%，满5且家庭 住房，省个税,小区环境优美，与飞龙公园、飞龙吾悦广场近，为社区居民提供了优美的生活环境。绿都社区有着完善的硬件设施，内设服务大厅、警务室、活动场所、便民服务点等.,长江路飞龙路配有43、45、50、54、55、98、H1等公交路线到银河湾第 一城下 龙城大道有32、40、201、204路等公交线路到前桥小区站下、98路到飞龙公园下车 1111路到绿都万和城五区站下车。小区出门200米就是龙城大道高架，上下班高峰可避免拥堵，出行便利,,,,,,,,,,,,
1,新装修未入住 视野好 目前空置中有钥匙看房,130万,13161,新北区薛家,九龙仓年华里 ,3室2厅1厨1卫,高楼层 (共18层),98.78㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2024-02-27,商品房,2017-05-23,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,新装修未入住 楼层好 视野好 目前空置中有钥匙看房,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、新装修未入住 户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮。,,,,,,,,,,
2,怡枫苑中层精装两房客餐厅朝南户型有钥匙看房,82万,9834,新北区薛家,怡枫苑,2室2厅1厨1卫,中楼层 (共18层),83.39㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房楼层好，视野好，目前有钥匙随时可以看房,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
3,悠活城 精装两居室 设施齐全 拎包入住,82万,10864,新北区薛家,新城•悠活城,3室2厅1厨1卫,中楼层 (共34层),75.48㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯五户,有,暂无数据,2024-01-06,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 60万元,未上传房本照片,楼层好，使用率高，客厅宽敞舒适,90平以内首套房契税1%，二套是1.5%，三套及三套以上是3% 90平以上首套房契税1.5%，二套是2%，三套及三套以上是3% 满两年增值税免，不满两年增值税5.3% 满五唯一个税1%,,,小区旁生活设施齐全，健身器材，小型篮球场，可供小区业主使用。小区内停车位充足，建有地上停车场和地下停车场。小区内24小时有保安巡逻。,户型方正，格局分布合理，通特性强，居住舒适。 楼层佳，朝向南北，视野开阔，采光好。,,,,,,,,,,
4,东渡海派青城，精装纯别墅区，保养好,368万,19785,新北区薛家,东渡海派青城,5室2厅1厨3卫,低楼层 (共4层),186㎡,,暂无数据,,南,钢混结构,精装,,,暂无数据,2022-04-03,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,中秧空调，设施齐全，带院子， 婚房装修入住时间短。,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好,,联排,业主 诚意出售，手续齐全，价格公道，看房方便，随时恭候您的光临,,,,,,,,
5,薛家次新小区，前排景观房，采光无遮挡，地理位置优,125万,13737,新北区薛家,雅居乐凤凰湖北苑,3室2厅1厨1卫,高楼层 (共18层),91㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,一梯三户,有,暂无数据,2024-03-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 业主自还,未上传房本照片,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适；,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,,,现在不在常州发展了 很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,,,,,,,,
6,新北区白马公馆，中间楼层，远离高架，看房方便,108万,12135,新北区薛家,白马公馆,3室2厅1厨1卫,中楼层 (共34层),89㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2024-01-05,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 66万元 银行,未上传房本照片,新北区白马公馆，中间楼层，远离高架，看房方便,1.90平以内首套房契税1%，二套房1%，三套或以上3%； 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% ；3、不满两年增值税5.3%，满两年免增值税； 4、满五年唯一免个税1%,,小区楼下有共享单车，公交车，小区南边是龙城高架，往东南方向可到南大街，火车站，向西到奔牛机场，向北到常州高铁北站，和薛家沪蓉高速出入口，龙虎塘沪蓉高速出入口,白马公馆为绿洲置业又一品牌升级力作，位于飞龙版块地处新北区龙城大道以北，太湖西路与昆仑路交汇处。总建筑面积约34万方，由16栋高层及沿街商铺组成。88-140㎡创梦空间，满足不同人群的共同梦想居所,,,,,,,,,,,
7,凤凰湖北苑临河临河临河中层纯毛坯有钥匙仅一套,150万,14097,新北区薛家,雅居乐凤凰湖北苑,3室2厅1厨2卫,低楼层 (共18层),106.41㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房楼层好，南北通风，临河临河临河全天采光,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
8,新北吾悦万达白马公馆精装婚房三房远离高架密码看房,155万,12171,新北区薛家,白马公馆,3室2厅1厨2卫,高楼层 (共33层),127.36㎡,平层,暂无数据,板楼,东 南 北,钢混结构,精装,两梯三户,有,暂无数据,2023-11-19,商品房,2016-03-11,普通住宅,暂无数据,共有,有抵押,已上传房本照片,此房满二精装修中层小区楼网楼栋远离高架户型方正,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区楼下马路旁有公交，南面有龙城大道和龙城大道高架，向东可到新北区天宁区和经开区，向南到钟楼区和武进区，向西到奔牛机场，向北到薛家和沪蓉高速出入口,,1、 地理位置优越 2、 公交地铁 方便。出行方便，上下班方便 3、 购物方便，节省您的宝贵时间 4、 小区绿化高。环境优美。宁静和谐，好环境总会给人带来好心情 5、 房干净整洁，温馨舒适，窗明几净，就等着您的拎包入住 6、 宽敞明亮，布局大方，采光好,,,,,,,,,,,
9,佳兆业凤凰湖壹号 洋房 一楼复式三层带地下室 带院子,253万,11516,新北区薛家,佳兆业凤凰湖壹号,5室2厅1厨2卫,低楼层 (共6层),219.71㎡,复式,暂无数据,板塔结合,南 北,未知结构,精装,两梯四户,有,暂无数据,2022-02-19,商品房,2020-06-01,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利,"1、90平以内首套房契税1%，二套房1%，三套或以上3%
2、90平以上首套房契税1.5%，二套房2%，三套或以上3%
3、不满两年增值税5.6%，满两年免增值税
4、满五年唯一免个税1%",,,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好,,,业主工作调动 诚意出售，手续齐全，价格公道，看房方便，随时恭候,,,,,,,,
