,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,周边配套,交通出行,户型介绍,适宜人群,售房详情
0,房东诚意出售 交通便利 价格可谈 东郡花园,160万,10885,天宁区郑陆镇,金域东郡花园,4室2厅1厨2卫,低楼层 (共26层),147㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,暂无数据,2023-12-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房东诚心出售，小区环境好，户型采光好，价格好谈，交通便利,小区是常州市金洲房产开发的楼盘，开发项目较多还有别墅，小高层，写字楼，商铺。,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%，二套房90平米以上成交价的2%，增值税，产证满2年免征收增值税，未满2年征收5.3%，个税，产证满5年而且是名下唯一一套住房，免收个税，未满5年成交价的1%,小区有建设银行，农村银行，中国银行等等 ，采购，农贸市场，交通方便,门口交通发达，公交乘车15路到白洋桥下车，旁边就到小区门口 交通便利的很,,,
1,金域东郡花园 4室2厅 南 北,135万,9097,天宁区郑陆镇,金域东郡花园,4室2厅1厨2卫,低楼层 (共26层),148.41㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,毛坯,两梯三户,有,暂无数据,2023-06-06,商品房,2020-12-01,普通住宅,满两年,非共有,有抵押 业主自还,已上传房本照片,,,,,,,,
2,金域东郡花园 4室2厅 南,160万,10334,天宁区郑陆镇,金域东郡花园,4室2厅1厨2卫,低楼层 (共26层),154.83㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,两梯三户,有,暂无数据,2023-05-31,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,
3,复式上下两层采光无遮挡诚心出售看中就卖,215万,9863,天宁区郑陆镇,金域东郡花园,6室2厅1厨2卫,高楼层 (共26层),218㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,两梯三户,有,暂无数据,2023-02-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 20万元 公积金 客户偿还,未上传房本照片,地理位置优越，交通便捷，辐射广，设施齐全，生活便利,1：小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁。,房屋产权70年契税；首套房契税小于90平方计税价格百分之1个点，大于90平方计税价格百分之1.5个点，二套契税小于90平方计税价格百分之1个点，大于90平方计税价格百分之2个点。三套以上计税价格百分之3个点，2；增值税满二年免征，不满二年征5.3%,,,户型周正，格局分布合理，空间感好，通透性好，适宜居住； 2、楼层好，朝向南北，视野开阔，采光透亮,,
4,房东诚售精装大三室，户型方正，中上楼层，基本未入住,135万,10869,天宁区郑陆镇,金域东郡花园,3室2厅1厨2卫,高楼层 (共24层),124.21㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-06-21,商品房,2021-04-05,普通住宅,满两年,共有,无抵押,已上传房本照片,此房房型方方正正，三房两卫，好楼层，采光视野很好,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,此房房型漂亮双阳台设计北面有一个空中花园只算一半面积。主卧带飘窗和内卫。明厨明卫,此小区24小时安保，居住安全性高，有绿植水系，环境优美，人文素养高,
5,房东诚意出售 交通便利 价格可谈,170万,10980,天宁区郑陆镇,金域东郡花园,4室2厅1厨2卫,高楼层 (共26层),154.83㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,暂无数据,2023-02-20,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,房东诚意出售  小区环境好 户型采光好 价格可谈 交通便利 设...,金域东郡是常州市金洲房产开发的楼盘。开发项目较多还有别墅 小高层 写字楼 商铺。,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区有建设银行  农村银行 中国银行等  ，采购  农贸市场 交通方便,门口交通发达 公 交车 乘坐15路到白洋桥下车  旁边就到小区门口,,,
6,金域东郡花园 3室2厅 南,123万,10953,天宁区郑陆镇,金域东郡花园,3室2厅1厨1卫,中楼层 (共26层),112.3㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2023-06-25,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 业主自还,未上传房本照片,,,,,,,,
7,金源商业广场，店长推荐，必买好房,175万,13060,天宁区郑陆镇,金源商业广场,3室2厅1厨2卫,中楼层 (共18层),134㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五免个人所得税,,"地理位置优越,交通便利，出门就有公交站点，绿化优美，小区环境幽静、小区生活设施齐全，各大银行、菜场、商场、饮食近在咫尺，生活方便",,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同
8,此房满五唯一，精装修，房东保养的好，，无抵押,88万,8717,天宁区郑陆镇,申达花苑,3室2厅1厨1卫,中楼层 (共5层),100.96㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,无,暂无数据,2023-09-13,商品房,2023-10-09,普通住宅,未满两年,共有,无抵押,已上传房本照片,此房满五唯一，精装修，房东保养的好，，无抵押,小区位于常州市天宁区青龙板块，由常州市申达地产开发公司开发建造，2008年竣工，小区分为安置房和商品房都是楼梯房，户型面积主要分为109平左右的两居室，130平左右的三居室，142平左右的四居室，,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,,,
9,精装修 房东诚心出售 看房提前联系 价格可谈,180万,12992,天宁区郑陆镇,金源商业广场,3室2厅1厨2卫,低楼层 (共18层),138.55㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,暂无数据,2024-02-29,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 30万元,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五免个人所得税,,"地理位置优越,交通便利，出门就有公交站点，绿化优美，小区环境幽静、小区生活设施齐全，各大银行、菜场、商场、饮食近在咫尺，生活方便",,,此房产权清晰，房源真实，业主外地发展，诚心出售，看房方便，过户全程陪同
