,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,户型介绍,周边配套,房源核验码,查询房管备案记录,适宜人群,税费解析,权属抵押,交通出行,售房详情,装修描述,别墅类型,用水类型,用电类型
0,保利公园九里 毛坯四房 中高楼层 东边户 随时看房,198万,14559,钟楼区北港,保利公园九里,4室2厅1厨2卫,高楼层 (共26层),136㎡,平层,暂无数据,板塔结合,东南,钢混结构,毛坯,两梯三户,有,暂无数据,2022-05-26,商品房,2019-01-02,普通住宅,满五年,共有,有抵押 90万元,已上传房本照片,青枫公园 客厅宽敞舒适，使用率高 ，朝南户型,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,户型 朝南舒适，全天采光。房型方正视野好。干湿分离 格局分明,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,,,,,,,,,,
1,景瑞曦城 精装修3房 高楼层 采光好 配套齐全,125万,12923,钟楼区北港,景瑞曦城,3室2厅1厨1卫,中楼层 (共16层),96.73㎡,平层,75.91㎡,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-11-23,商品房,2015-06-01,普通住宅,暂无数据,共有,无抵押,已上传房本照片,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商,,,042457932827,此房户型方正 三室两厅一厨一卫 高楼层 采光充足 配套完善,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,
2,央企物业好，环境好，房型好，配套齐全,129.5万,15359,钟楼区北港,保利公园九里,3室1厅1厨1卫,中楼层 (共25层),84.32㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-06-27,商品房,2020-07-10,普通住宅,暂无数据,共有,无抵押,已上传房本照片,央企品质 自持物业 户型方正 好楼层 采光好 地铁600米 绿化好。,央企物业 绿化百分之35 小区自带游泳池 彩虹跑道 人车分流 入住率百分之2左右,楼层好 老少皆宜 采光好 日照 8小时左右 2017-2018左右交付 新区比较新的三期 精装修 业主几乎没住 户型方方正正,门口钟楼第二实验新建的已经入学，步行青枫公园 龙湖天街 地铁口 海棠站 青枫公园总站,,,,,,,,,,,
3,全南户型，每个房间亮堂堂，居住舒适。无遮挡视野开阔,130万,14763,钟楼区北港,保利公园九里,3室2厅1厨1卫,低楼层 (共26层),88.06㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2022-04-27,商品房,2018-10-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,全南户型，每个房间都亮堂堂，居住舒适。无遮挡视野开阔,区地理位置佳，绿化好，居民素质高，有健身器材，活动场所，建有地上停车场和地下停车库，停车位充足，二十四保安巡逻，菜场银行等配套设施齐全，生活方便快捷。,,,,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",房子没有任何的贷款，客户只需要正常的首付就可以了，产权明晰，随时可以过户,,,,,,
4,雨润城   精装三房高楼层采光好,148万,12822,钟楼区北港,雨润城,3室2厅1厨1卫,高楼层 (共32层),115.43㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-10-19,商品房,2019-04-09,普通住宅,暂无数据,共有,有抵押 100万元 平安银行,已上传房本照片,户型 朝南舒适，全天采光。房型方正视野好。干湿分离 格局分明,小区环境优美 物业管理完善 居住体验好 配套方便 出行方便 游乐设施,,门口200米妇幼保健院常州人民医院钟楼院区 宝龙城市广场 龙湖天街 在建中吴广场,,,,,,出门500米龙江高架 贯穿全常州 交通便利 道路通畅 配有地铁规划线,,,,,
5,景瑞英郡花苑 装修2房 高楼层 采光好 配套齐全,98.8万,11470,钟楼区北港,景瑞英郡花苑,2室2厅1厨1卫,中楼层 (共32层),86.14㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-11-12,商品房,2018-10-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,此房户型方正，两室两厅一厨一卫 高楼层 采光充足 配套完善,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,,,,,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
6,急售 地铁口 精装双阳台 采光刺眼,129.8万,12884,钟楼区北港,金色领寓,3室2厅1厨1卫,中楼层 (共27层),100.75㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯三户,有,暂无数据,2023-11-01,商品房,2019-11-05,普通住宅,暂无数据,共有,有抵押,已上传房本照片,"业主自住，保养好，双阳台，全天采光，户型方正，得房率高,",小区环境：绿化优美，四季有花，四季有果，出门就是青枫公园，空气清新，景色优美。整体小高层布局，采光充足,,,,,,1、 契税： 首套房90M以下1％、90M以上 1.5 二套房90M以下1％、90M以上2％ 三套房不论面积统一3％. 2、 增值税： 满二年不论面积全免、 不满二年收全额的5％、 3、个人所得税： 满二年不满5年1％、 满五免个人所得税 一个点个税,,往南300米有地铁， B RT交通枢纽，B 23路，52路，213路，225路，Y 1,,,,,
7,总价低，楼层好，视野开阔，采光好，拎包住,99.9万,10189,钟楼区北港,枫林雅都,3室2厅1厨1卫,低楼层 (共11层),98.05㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯两户,有,暂无数据,2023-03-07,商品房,2020-07-01,普通住宅,暂无数据,共有,有抵押 35万元 江南农商银行 客户偿还,已上传房本照片,总价低，楼层好，视野开阔，采光好，拎包住,小区绿化高，运河景观带，居住舒适，生活配套完善，出行便利，小区入住率高，成熟社区，人文气息浓厚,两房朝南一房朝北，采光视野好，厨房空间宽敞方便日常做饭，生活阳台宽大便于晾晒、通风和采光。,1.公园：青枫公园； 2.购物：宝龙广场、龙湖天街； 3.交通：地铁2号线青枫公园站、龙江路高架，主干道：星港路，玉龙路； 4.医疗：常州妇幼保健医院;,,,,1.契税:首套房90平以下 1%，90平以上1.5%；二套房90平以下1%，90平以上2%；三套房不论面积统一3%。2.增值税： 满两年不论面积全免，不满二年收全额的5.6%。3.个人所得税：满两年1%，满五唯一,,,,,,,
8,青枫公园保利公园九里精装修三房两卫 中上楼层,163万,16215,钟楼区北港,保利公园九里,3室2厅1厨2卫,中楼层 (共27层),100.53㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-10-28,商品房,2018-08-28,普通住宅,满五年,非共有,有抵押 60万元,已上传房本照片,青枫公园 客厅宽敞舒适，使用率高 ，朝南户型,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,户型 朝南舒适，全天采光。房型方正视野好。干湿分离 格局分明,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,,,,,,,,,,
9,青枫公园旁地铁口凯尔枫尚精装修两房景观房客厅带阳台,98.5万,10845,钟楼区北港,凯尔枫尚花园,2室2厅1厨1卫,中楼层 (共24层),90.83㎡,平层,69.74㎡,塔楼,南,钢混结构,简装,两梯三户,有,暂无数据,2023-07-16,商品房,2012-05-23,普通住宅,暂无数据,共有,有抵押 75万元 经营贷 业主自还,已上传房本照片,户型 朝南舒适，全天采光。房型方正视野好。干湿分离 格局分明,,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五唯一免个人所得税,042430959754,青枫公园旁地铁口凯尔枫尚 精装修两房景观房客厅带阳台满五唯一,,,,,,,,,
