,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,周边配套,售房详情,权属抵押,交通出行,户型介绍,房源核验码,查询房管备案记录,装修描述,适宜人群,别墅类型
0,格局好户型方正 楼间距大 每个房间都有飘窗 明厨明卫,116.8万,13017,天宁区雕庄,中海凤凰熙岸,3室2厅1厨1卫,低楼层 (共33层),89.73㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2023-04-01,商品房,2019-04-26,普通住宅,暂无数据,共有,有抵押 20万元,已上传房本照片,格局好，户型方正 楼间距大 每个房间都有飘窗 明厨明卫,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园，大润发 房主自荐(业主对房源的描述),,,,,,,,,
1,中海铂悦公馆精装修 品质小区 居住舒适 局小正衡旁,268万,18742,天宁区雕庄,中海铂悦公馆,4室2厅1厨2卫,中楼层 (共17层),143㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-09-16,商品房,2021-01-22,普通住宅,暂无数据,非共有,有抵押 150万元,已上传房本照片,南北通风格局、 可用面积增多 ，采光好，交通便利,小区有洋房，小高层，高层，楼间距大，采光好，绿化好，设有儿童游乐区，喷泉景观。分南大门和西大门，都可进出车辆,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,此房产权清晰，房源真实，业主诚心出售，看房方便，可全程陪同看房,,,,,,,,
2,泰和位置好精装4房 全新未住过 楼层好采光佳,245万,15994,天宁区雕庄,泰和之春,4室2厅1厨2卫,高楼层 (共26层),153.19㎡,平层,暂无数据,暂无数据,南,未知结构,精装,两梯四户,有,暂无数据,2023-05-14,商品房,2021-03-26,普通住宅,暂无数据,非共有,有抵押 85万元,已上传房本照片,此房精装修 地暖 空调 三开间朝南 户型方正 看房方便,采光好，环境优美，楼间开阔，居住舒适性高楼间开阔，居小区环境优美，治安放心，出行方便，自带活动场所，娱乐与健身一体，绿植保养好采光好，环境优住舒适性高,契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%,天宁板块内中吴大道旁 购物就在家门口 局小分校区，正衡 配套齐全，上学就在家门口，资源充足,,,,,,,,,
3,泰和之春，铂悦公馆，凤凰熙岸旁菱溪名居好楼层出售,90万,9838,天宁区雕庄,菱溪名居,2室1厅1厨1卫,中楼层 (共24层),91.49㎡,平层,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-02-20,商品房,2019-03-15,普通住宅,满五年,共有,无抵押,已上传房本照片,此房满二，楼层好，采光足，交通便利。,,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,综合市场，大卖场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,此房无贷款，无抵押，产权清晰。房东对付款无要求，按照正常首付就可以。,,,,,,,
4,精装修未入住 户型方正 三开间朝南 双阳台,160万,15918,天宁区雕庄,泰和之春,3室2厅1厨1卫,低楼层 (共33层),100.52㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-01-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,精装修未入住。采光好 户型方正 三开间朝南 双阳台,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,
5,中海凤凰熙岸精装小三房户型佳南北通透,145万,16131,天宁区雕庄,中海凤凰熙岸,3室2厅1厨1卫,高楼层 (共34层),89.89㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-04-20,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,格局好，户型方正 楼间距大 视野采光好,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园，大润发 房主自荐(业主对房源的描述),,,,,,
6,一排全天采光，精装修，业主诚心出售,195万,16985,天宁区雕庄,泰和之春,3室2厅1厨2卫,中楼层 (共32层),114.81㎡,平层,暂无数据,板楼,东南,钢混结构,精装,两梯四户,有,暂无数据,2023-06-02,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 100万元,未上传房本照片,此房精装修 地暖 空调  户型方正 看房方便,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",优质地段天宁板块内中吴大道旁购物就在家门口局小分校区正衡配套齐全资源充足,此房产权清晰，房源真实，业主诚心出售，看房方便，证件齐，欢迎看房，随时恭候，随时看房的,,,,,,,,
7,泰和之春 精装交付未入住 中间楼层 采光没影响 诚心出,175万,17178,天宁区雕庄,泰和之春,3室2厅1厨1卫,中楼层 (共30层),101.88㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-07-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房三开间朝南 精装修 户型方正 采光佳 看房方便 诚心出售,采光好，环境优美，楼间开阔，居住舒适性高楼间开阔，居小区环境优美，治安放心，出行方便，自带活动场所，娱乐与健身一体，绿植保养好采光好，环境优住舒适性高,契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%,优质天宁板块内中吴大道旁 购物就在家门口 局小分校区 正衡 配套齐全 资源充足,,,,,,,,,
8,业主诚心出售  看房方便   视野很好  采光刺眼！！！,169万,16569,天宁区雕庄,泰和之春,3室2厅1厨1卫,中楼层 (共33层),102㎡,平层,暂无数据,塔楼,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-02-06,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 20万元,未上传房本照片,此房精装修。中间楼层，采光没影响。户型方正 三开间朝南,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",好几家大型购物商场（永辉，好又多），综合菜场，药店，银行配套齐全，还有天宁吾悦购物广场，丁塘河湿地公园，爱琴海购物广场,,,交通十分方便，多路公交经过，高架旁，门口地铁2号线，可抵达常州东南新北，还有BRT2号线,,,,,,
9,精装35万！品牌家具拎包可住！房东诚心卖！,175万,14640,天宁区雕庄,中海凤凰熙岸,3室2厅1厨2卫,高楼层 (共30层),119.54㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2022-09-06,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 80万元,未上传房本照片,交通便利，小区设备齐全，房子产权清晰，能正常交易,小区生活实施齐全，商场，菜市场，银行等。2：小区内有健身器材，小型篮球场，可供小区居民使用。3：小区停车位充足，建有地面临时停车位以及底下停车位。4：小区内24小时保安巡逻税费解析,"首套房，90平米以下成交价的1%,90平米以上成交价的1.5%，二套房90平以上成交价的2%,
2、增值税：产证满2年免收增值税，未满2年征收5.6%;3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园，大润发房主自荐（业主对房源的描述）,,,,,,,,,
