,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,税费解析,权属抵押,周边配套,交通出行,小区介绍,房源核验码,查询房管备案记录,户型介绍,适宜人群,装修描述,用水类型,用电类型,别墅类型,燃气价格
0,红梅东村三室一厅简单装修诚意出售！,53.8万,8861,天宁区红梅,红梅东村,3室1厅1厨1卫,中楼层 (共5层),60.72㎡,平层,暂无数据,板楼,南,砖混结构,简装,暂无数据,暂无数据,暂无数据,2023-11-23,商品房,2017-02-28,普通住宅,暂无数据,共有,无抵押,已上传房本照片,业主现诚心出售，证件齐，欢迎看房，随时恭候,现诚心出售，全天采 光证件齐，没有贷款和抵押，随时看，看中房子再谈价格。。,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,,,,,
1,OO单价1.5万入手洋房地铁宜居,200万,15255,新北区红梅,聚博花园,3室2厅1厨2卫,中楼层 (共11层),131.11㎡,平层,暂无数据,板楼,东南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-04,商品房,2004-06-22,普通住宅,暂无数据,共有,有抵押 130万元 业主自还,已上传房本照片,宜居，洋房，井小实中。三开朝南，地铁口，房东诚售,户型方正，空间感好，通透性好，居住舒适。格局分布合理，难得好房。楼层佳，视野开阔，前面无遮挡，采光效果好。 2.专业打造一个居住的成熟社区，亭台楼阁，花园水系，社区环境好，配套齐全，银行等方便,税费分析1：90平以下首套二套1%，三套及以上3%90平以上首套1.5%，二套2%，三套及以上3%2：个税：全额的1%，满五年套住宅免征3：税：不满两年5.3%，满两年免征此房满五年，没有增值税，只有个人所得税和契税,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,,,,,
2,红梅的房子满五唯一，三房朝南，双阳台，南北通透,85万,8626,天宁区红梅,红梅新村,3室2厅1厨1卫,中楼层 (共6层),98.55㎡,平层,暂无数据,塔楼,南 北,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-02-19,商品房,1994-01-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,红梅的房子满五唯一，三房朝南，双阳台，南北通透,红梅的房子满五唯一，三房朝南，双阳台，南北通透，适合中老年人居住，生活很便利，红梅公园大润发就在门口，方便快捷,,,红梅商场、、红星家具装饰城、，商 业 银行(北环路)、江苏银行红梅支行、农业银行九龙支行、建设银行竹林新村分理处、中国邮政北环路储蓄所、红梅邮政储蓄,9路、10路、11路、15路、24路、29路、208路、216路,,,,,,,,,,
3,（房东说看中在谈价格）景观房！双阳台！终日采光！,249万,20153,新北区红梅,中央花园（新北区） ,3室2厅1厨1卫,低楼层 (共18层),123.56㎡,平层,102.14㎡,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-07-13,商品房,2010-02-01,普通住宅,暂无数据,共有,无抵押,已上传房本照片,别墅后 景观房  无遮挡  终日采光  前后双阳台,业主诚意出售，手续齐全，价格公道，看房方便，节省您的时间和精力,存量房需要缴纳个人所得税1%。 契税（看买方名下房屋套数决定费率），若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。 90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%， 若90㎡以上将收取2%。 三套房不论面积大小契税均按照3%收,,,,小区地理位置好，绿化好，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,,,,,,,,
4,复式两层 使用面积大 采光刺眼 房东诚心出售 看房方便,89万,9915,天宁区红梅,翠竹新村北区,3室1厅1厨1卫,高楼层 (共6层),89.77㎡,跃层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,暂无数据,2023-09-17,商品房,2017-08-15,普通住宅,暂无数据,共有,有抵押 33万元 公积金 客户偿还,已上传房本照片,翠竹北区 交通便利 生活方便 使用面积大 看房方便,,,,公里内有大润发、武进医院、奥体、文化广场。 大家都知道，常州人爱吃会吃，如果你来到翠竹，就可以从清晨吃到深夜，从街头吃到街尾，中间的几条支路拐进去又能够发现更多的美食，服装也可以一起逛吃逛吃,首套房90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以下1%，以上2%，三套房不论大小均为3%； 增值税分析：产证满2年免收增值税，未满2年征收5.3％；个税：产证满五年而且是唯一一套住房，免收个税，未满5年成交价的1%,翠竹新村被翠竹大道分成了南北两个区，都是上世纪末的老房子，不同于现在略显高冷的高层小区，在这里你可以感受到什么是生活，什么是人情味儿，还有那些老新村独有的人间烟火气。或许生活就该多一点温度,,,,,,,,,
5,出门即是地铁口！楼层好！房东诚心出售！,155万,18189,新北区红梅,中央花园（新北区） ,2室2厅1厨1卫,低楼层 (共30层),85.22㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯六户,有,暂无数据,2023-10-14,商品房,2020-06-29,普通住宅,暂无数据,共有,无抵押,已上传房本照片,出门即是地铁口！楼层好！房东诚心出售！,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,区地理位置佳，绿化多，有景观湖 居民素 质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位 充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,市民广场，图书馆，奥体，出小区东门就是菜场，chao市，西门就是地铁口,,,,,,,,,
6,此房视野开阔，楼层好，采光充足，户型方正！保养好,199万,21556,天宁区红梅,青山湾南区,2室1厅1厨1卫,中楼层 (共30层),92.32㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,三梯八户,有,暂无数据,2022-09-30,商品房,2016-08-11,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,"一公里内有红梅公园菜场:怡康小河沿菜场,锦绣菜场， 2公里内有大润发、，欧尚、 医院: 2公里内有青山湾社区医院,武进医院，一院,二院",,,,,022353742614,此房视野开阔，楼层好，采光充足，户型方正！保养好,,,,,,,
7,必买好房  新北万达商圈，小区环境优美，交通便利,82.8万,10636,天宁区红梅,金百商业广场,2室1厅1厨1卫,低楼层 (共34层),77.85㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯八户,有,暂无数据,2023-06-11,商品房,2009-01-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,新北万达商圈，品质小区，小区环境优美，交通便利，..,,契税：1、首套：90平以下1%；90平以上1.5%。2、二套：90平以下1%；90平以上2%。3、三套都是3%。4、增值税：满两年免征；不满2年全.额征收5.3%.5、个税：不满5年唯一征1%,,,1，交通便利，四通八达，出行更加方便，节省时间 2，配套医院近，适合家有老人和孩子的家庭,,,,1.户型方正，格局分布合理，空间感好，通透性强，居住舒适 2.客厅卧室朝南，楼层高采光好，3.全屋主功能间都带有窗户，明厨明卫，更响亮。,,,,,,
8,采光好，中间楼层，清爽装修，房东诚售,168万,17683,新北区红梅,中央花园（新北区） ,2室2厅1厨1卫,中楼层 (共30层),95.01㎡,平层,76.52㎡,板塔结合,南,钢混结构,精装,两梯六户,有,暂无数据,2023-02-24,商品房,2011-10-08,普通住宅,暂无数据,共有,有抵押 100万元 业主自还,已上传房本照片,地段好，交通方便，公交、地铁齐全。旁边市民广场、奥体馆。,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,地铁口、公交就在小区门口，交通便捷。 市民广场、奥体馆就在小区旁边，生活方便,,位置：小区地理位置佳，绿化多，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,,,,,,,,
9,新城蓝钻70年小面积住宅急售！！！！,54万,9130,天宁区红梅,新城蓝钻苑（东区）,1室1厅1厨1卫,中楼层 (共27层),59.15㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯六户,有,暂无数据,2023-10-24,商品房,2017-10-26,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房视野宽阔，阳光充足！好楼层、住宅性质,,此房产证已满两年，交易过程中免缴增值税。契税根据购房者家庭房产情况缴纳，如果购房者此次购房为家庭首套房，契税1.5％；家庭二套房，契税2％；家庭三套房，契税3％。,此房现在没有任何贷款和抵押，买卖双方签约后可以直接办理交易手续,生活配套齐全，医院，菜场，银行都有，成熟齐全，楼栋清晰分明 坐落有序，现场体验效果更加明显 权属抵押： 此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同栋清晰分明，坐落有序，现场体验效果更加明显,,,,,,,,,,,
