,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,税费解析,周边配套,交通出行,小区介绍,适宜人群,售房详情,装修描述,户型介绍,别墅类型,权属抵押
0,碧桂园百兴澜庭 通透三房两卫 视野开阔 看房方便,85万,7479,新北区璜土,碧桂园百兴澜庭,3室2厅1厨2卫,高楼层 (共21层),113.66㎡,平层,暂无数据,塔楼,南,砖混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-02-05,商品房,2020-09-12,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,小区新 绿化高 房子南北通风好 楼层好,房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%,小区出行方便 交通便利 生活舒适 出小区就有菜场和商场 很有生活气息,生活设施齐全 ，银行 菜场 商场 饮食 公交 地铁 近在咫尺， 生活起居很方便,,,,,,,
1,米兰阳光 95平方 精装修 看上价格好谈,65万,6837,新北区璜土,米兰阳光花苑,3室2厅1厨1卫,高楼层 (共16层),95.08㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-09-22,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,小区位置安静 小高层 中上楼层 居住舒适，精装修,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税..,环境优美，绿化充足，靠黄河路，通过小湖路、常澄路、青阳路、芙蓉大道可快递前往常州及江阴市区，楼下自带大型商店。靠龙虎塘社区，配套齐全,,小区环境好，绿化充足；通过小湖路、常澄路、青阳路、芙蓉大道可快递前往常州及江阴市区，楼下自带大型商店入住率百分之80，24小时安保，绿化比例2.2,,,,,,
2,龙虎塘边龙城福第高层毛坯诚售，有钥匙随时看,85万,8573,新北区璜土,龙城福第,2室2厅1厨1卫,高楼层 (共28层),99.16㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯五户,有,暂无数据,2021-12-30,商品房,2021-09-24,普通住宅,暂无数据,非共有,有抵押 客户偿还,已上传房本照片,中上楼层，纯毛坯，适合新业主个性化装修，采光充足,,,,,此房位置居中。无噪音，适合各种居住要求，电梯高层，出现方便，配套齐全，买卖繁华，四通八达。,房东居住在常州市里，此房为多余房产，没有户口，变现置换，产权清晰，随时可签，看房方便,纯毛坯，俩房俩厅一卫，飘窗和阳台空间大，自己根据喜好个性化装修，居住更舒心。,,,
3,百兴澜庭 113平方 毛坯 三朝南户型 双阳台,115万,10239,新北区璜土,碧桂园百兴澜庭,3室2厅1厨2卫,低楼层 (共33层),112.32㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-06-05,商品房,2021-02-04,普通住宅,暂无数据,非共有,有抵押 80万元 建行 客户偿还,已上传房本照片,此房户型方正，楼层好，采光足，配套齐全，价格实惠,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,,业主人很友好、热情，诚心出售，成熟小区管理，证件齐全，随时签约，有钥匙看房方便,,,,
4,精装修 位置好 品牌家电 小高层 采光佳 拎包即住,90万,9525,新北区璜土,金美林花园,2室2厅1厨1卫,中楼层 (共11层),94.49㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-05-24,商品房,2017-10-17,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房为精装房，交通便利，配套完善,存量房需要缴纳个人所得税1%。契税，若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套及以上为3%。,此小区边上有玲珑菜市场，信特卖场，公交站台，BRT，生活交通便利。,,,此房总价比较低，很适合首付不够，总房价预算低的一家三口或是老人居住。,,,,,
5,恐龙园板块 金美林花园 户型好 精装修 业主诚售随时看,119万,9131,新北区璜土,金美林花园,3室2厅1厨2卫,低楼层 (共14层),130.33㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-02-17,商品房,2020-07-28,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房装修好 随时可以入住，看房方便视野采光好,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,小区生活配套全 环境好 距离环球港2000米 距离恐龙园1500米，距离璜石湖公园1500米左右，坐拥双城生活圈,,,,,,此房精装三房两卫，基本没怎么住过，户型好，空间利用的好，视野开阔，优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴,,
6,碧桂园百兴澜庭 采光充足 交通便利 环境赞,380万,20213,新北区璜土,碧桂园百兴澜庭,6室2厅2厨3卫,低楼层 (共3层),188㎡,,暂无数据,,南,未知结构,毛坯,,,暂无数据,2021-08-16,商品房,暂无数据,别墅,暂无数据,共有,有抵押 业主自还,未上传房本照片,此房为一到三层的联排别墅 别墅前后都带院子,税费解析： 首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税。,碧桂园文鑫苑 景区中华恐龙园 环球港 迪诺水镇 奥特莱斯 香树湾别墅群,,,喜欢田园生活，看天外云卷云舒的成功人士 喜欢有格调，具有创作艺术工作的年青人,,,,暂无数据,
7,恐龙园，碧桂园华星世纪学府，文鑫苑简装三房,115万,9939,新北区璜土,文鑫苑,3室2厅1厨1卫,低楼层 (共30层),115.71㎡,平层,暂无数据,平房,南 北,钢混结构,简装,三梯六户,有,暂无数据,2022-11-20,商品房,2020-09-14,普通住宅,暂无数据,共有,有抵押 35万元,已上传房本照片,此房是简装三房。3室2厅1厨1卫.户型好，采光没有影响,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,碧桂园华星·世纪学府小区，环境优美，绿化充足；：自驾：通过小湖路、常澄路、青阳路、芙蓉大道可快递前往常州及江阴市区，楼下自带大型商店,,此小区为新小区，小区环境好，入住率百分之80，24小时安保，绿化比例2.2，适宜居住。,,,,,,
8,碧桂园华星世纪学府、文鑫苑，全新毛坯三房两厅一卫,82万,8417,新北区璜土,文鑫苑,3室2厅1厨1卫,中楼层 (共30层),97.43㎡,平层,暂无数据,塔楼,南,框架结构,毛坯,暂无数据,暂无数据,暂无数据,2022-06-20,商品房,2020-04-23,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,新小区，位置好，楼层好，采光充足，视野开阔,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,碧桂园华星·世纪学府小区，环境优美，绿化充足；：自驾：通过小湖路、常澄路、青阳路、芙蓉大道可快递前往常州及江阴市区，楼下自带大型商店,,小区环境好入住率百分之80，24小时安保，绿化比例2.2..,,,,此房是三开间朝南，毛坯房，装修设计自由，户型好，采光很好，3室2厅1厨1卫，视野开阔,,
9,江阴产权，享受常州的配套，精装自己住三房，诚意出售,95万,8247,新北区璜土,金美林花园,3室2厅1厨1卫,低楼层 (共11层),115.2㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-05-30,商品房,2019-09-17,普通住宅,暂无数据,共有,有抵押 50万元,已上传房本照片,此房是江阴产权，但是享受常州的周 边配套 低密度小区诚意出售,1，契税：90平方以下首套和二套房税率为1%；90平方以上首套房税率为1.5%，二套房税率为2%。三套以上房屋，税率都为3%。 2，税：产证满2年免征。 3，个税：产证满5年，且房东名下只有这套房可以免征。其他情况征收全额的1%,,,,,业主自己在常州上班 小孩要读书 所以要换常州的房子 所以诚意出售的,,房子是两房朝南的户型 一房朝北的  厅是朝北的户型 现在房子是自己住的  装修很好  现在房东诚意出售的 看房提前约,,
