,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,税费解析,权属抵押,户型介绍,周边配套,小区介绍,适宜人群,装修描述,交通出行,房源核验码,查询房管备案记录,别墅类型,用水类型,用电类型,燃气价格
0,恐龙园板块  2层复式 全天采光   108平 随时看房,78万,7191,新北区恐龙园,香树湾花园,3室2厅1厨2卫,低楼层 (共19层),108.48㎡,复式,暂无数据,暂无数据,南,未知结构,精装,两梯四户,有,暂无数据,2023-04-03,商品房,2013-01-15,普通住宅,暂无数据,共有,无抵押,已上传房本照片,恐龙园板块  2层复式 全天采光   108平 随时看房，此房满5唯一,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",此房 产权清晰，交易简洁方便 全程过户陪同 。。。。。。。。,,,,,,,,,,,,
1,世茂香槟湖小高层洋房大三房诚意出售!带采暖车位,218万,16566,新北区恐龙园,世茂香槟湖一期,3室2厅1厨2卫,中楼层 (共11层),131.6㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-09-11,商品房,2011-01-28,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房中高楼层南北通采光好!前靠湖后倚高层，安静私密,业主自住，因置换诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价 格 可 谈。,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,大三房两厅两卫，主卧内卫大（淋浴房、浴缸、双台盆一应俱全）看房方便。客厅朝南。两房朝南 。,,,,,,,,,,,
2,满五唯一，世茂小高层，诚心出售、价格可谈,125万,14192,新北区恐龙园,世茂香槟湖二期,2室2厅1厨1卫,高楼层 (共18层),88.08㎡,平层,75㎡,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-07-03,商品房,2019-05-17,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,楼层好，视野旷阔，采光充足，交通便利,业主现在诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，可谈。,"此套房就交一个契税
1、契税：首套房，90平米以下成交价1%，90平米以上成交价的1.5%。二套房90平以上成交价的2%。 2、增值税：产证满2年免收增值税，未满2年征收5.6%。 3、个税：产证满5年而且是唯一一套住房，免收个税，未满5年，成交价的1%",此房产权清晰，没有抵押，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,,,,,,,
3,龙湖原山大平层，精装拎包入住，看房方便。,330万,18433,新北区恐龙园,龙湖原山,3室2厅1厨2卫,低楼层 (共17层),179.03㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,一梯两户,有,暂无数据,2023-08-28,商品房,2017-03-07,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房楼层好，视野好，环境优美，离恐龙园较近,业主现在诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，可谈。,1、契税：首套房，90平米以下成交价1%，90平米以上成交价的1.5%。二套房90平以上成交价的2%。 2、增值税：产证满2年免收增值税，未满2年征收5.6%。 3、个税：产证满5年而且是唯一一套住房，免收个税，未满5年，成交价的1%,,,中华恐龙园、恐龙谷温泉、紫荆公园、北塘河滨河观景带等世贸广场、万达商圈、环球港商圈、龙湖天街（在建）,,,,,,,,,,
4,恐龙园 世茂香槟湖 空中复式 精装5房 诚心出售,358万,13453,新北区恐龙园,世茂香槟湖一期,5室2厅1厨3卫,高楼层 (共31层),266.13㎡,复式,203.49㎡,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2022-10-09,商品房,2011-01-10,普通住宅,暂无数据,共有,无抵押,已上传房本照片,恐龙园 世茂香槟湖 空中复式 精装5房 诚心出售,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，可以出价 方便看房,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",此房没有任何贷款抵押  交易简洁方便 全程过户陪同。。。。。。,,,,,,,,,,,,
5,世茂香槟湖3房两卫，婚装，急售,175万,13060,新北区恐龙园,世茂香槟湖一期,3室2厅1厨2卫,低楼层 (共31层),134㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2022-11-11,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房是房东当初的婚房，3房两厅两卫，户型方正。急售,,,权属抵押： 此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,恐龙园板块是这边大的小区配套全生活方便舒适小区内亭台楼榭小桥流水小区外恐龙园迪诺水镇大河潺潺,适合年轻人结婚或者一家几口人居住，设施齐全，3个房间。小区安静舒适，上，学方便,房东结婚的装修，没住多久，控制在这，偶尔来住，经常来打扫卫生，除了墙纸需要更换，其他保养还不错，婚装，拎包即住,出门就是主路，有公交，共享大单车后续还会有地铁，高架出行也方便，无论步行，骑车，开车，或者后续地铁都方便,,,,,,
6,世茂香槟湖二期 3室2厅 南,209.9万,15037,新北区恐龙园,世茂香槟湖二期,3室2厅1厨2卫,高楼层 (共22层),139.58㎡,平层,暂无数据,暂无数据,南,未知结构,精装,两梯三户,有,暂无数据,2023-01-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
7,满三满二，精装房，配套成熟，小区环境优美,189万,13598,新北区恐龙园,世茂香槟湖二期,3室2厅1厨2卫,低楼层 (共22层),139㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2023-09-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,满三满二，精装房，配套成熟，小区环境优美,生活设施齐 银行 农贸菜场 商场 饮食近在咫尺 生活起居很方便,首套房契税是1.5%，二套是2%，三套及以上是3%，首套房契税是1.5%，二套是2%，三套及以上是3%,,,,,,精装 3室2厅一厨2卫，采光一点都不受影响，看房方便。客厅朝南,,,,,,,
8,世茂香槟湖二期  3房 房东诚心出售,178万,14016,新北区恐龙园,世茂香槟湖二期,3室2厅1厨1卫,中楼层 (共33层),127㎡,平层,暂无数据,塔楼,南,混合结构,精装,两梯三户,有,暂无数据,2023-10-27,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,楼层视野开阔 采光充足 设施齐全 房东诚心出售,,首套房90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以下1%，以上2%，三套房不论大小均为3%； 增值税分析：产证满2年免收增值税，未满2年征收5.3％；个税：产证满五年而且是唯一一套住房，免收个税，未满5年成交价的1%,,,"生活设施齐 ，农贸菜场, 商场, 饮食近在咫尺, 生活起居很方便",小区地理位置好，绿化好，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,,,,,,,,
9,世茂香槟湖房东新装修保养好适合居住,230万,16553,新北区恐龙园,世茂香槟湖二期,3室2厅1厨2卫,中楼层 (共18层),138.95㎡,平层,113.35㎡,板楼,南,钢混结构,精装,两梯两户,有,暂无数据,2023-10-15,商品房,2013-01-24,普通住宅,暂无数据,共有,无抵押,已上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,首套房契税是1.5%，二套是2%，三套及以上是3%，不满二5.3增值税,,,生活设施齐 银行 农贸菜场 商场 饮食近在咫尺 生活起居很方便,,,,,,,,,,
