,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验码,查询房管备案记录,核心卖点,小区介绍,税费解析,交通出行,户型介绍,周边配套,售房详情,权属抵押,适宜人群,装修描述,别墅类型,用水类型,用电类型,燃气价格
0,北郊晋陵文锦三室二卫经典户型毛坯诚意出售,285万,24974,钟楼区南大街,晋陵文锦,3室2厅1厨2卫,低楼层 (共34层),114.12㎡,平层,88.49㎡,板楼,南,钢混结构,毛坯,四梯六户,有,暂无数据,2022-12-11,商品房,2021-06-23,普通住宅,暂无数据,非共有,有抵押 90万元 常州市住房置业融资担保有限公司 客户偿还,已上传房本照片,042428479592,晋陵文锦 次新房2023年6月满二，毛坯， 楼层好 视野开阔！,北郊次新房商品房，毛坯，三房二卫户型经典，利用率高， 楼层，采光好，适合老人孩子居住,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%.",近北郊，位置好，近BRT，公交车站，离市里地铁站近，出行方便,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,,,
1,怀德苑电梯房，婚装4房，未入住，诚心出售随时看房,205万,12365,钟楼区南大街,怀德苑,4室2厅1厨2卫,高楼层 (共6层),165.8㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,无,暂无数据,2022-12-08,商品房,2017-04-14,普通住宅,暂无数据,共有,有抵押 60万元,已上传房本照片,,,准电梯房，婚装4房，未入住，诚心出售随时看房,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,格局优 视野佳 商圈配套齐全二层（空中艺墅） 格局优 视野佳 商圈 齐全，双地铁，双商城，,,,,,,,,,
2,此房装修好 地段佳 交通方便  生活便利  设施配套齐全,190万,19726,钟楼区南大街,天禧星园,2室2厅1厨1卫,低楼层 (共28层),96.32㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-02-12,商品房,2016-06-21,普通住宅,暂无数据,共有,无抵押,已上传房本照片,,,此房子满五年 装修好 地段佳  交通方便  生活便利  设施配套齐全,,1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％；二套： 90㎡以下1%的契税，90㎡以上2%的契税； 三套：3%的契税 2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：个税1%。产证满五年而且是唯一套住房，免收个税。,距离南大街地铁4号口（2号线）步行1公里左右，配套的公交线路有：25路，55路，219路，23路，42路，52路，56路，205路，210路，220路，距离东头村公交站大概200米左右，小区出行还是比较方便的,,商场：百货大楼，泰富百货，新世纪，医院：一院，二院。休闲场所：青果巷历史文化街，人民公园。菜场：广化桥菜场,,,,,,,,
3,精装顶楼复式 地铁口 双阳台  装修好 离校近,233万,16019,天宁区南大街,博爱公寓,4室2厅1厨2卫,高楼层 (共6层),145.46㎡,复式,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,无,暂无数据,2022-07-31,商品房,2016-01-29,普通住宅,暂无数据,共有,有抵押 35万元 公积金 客户偿还,已上传房本照片,,,实际使用面积大 自住 装修好 大阳台宽敞明亮,小区邻红梅公园，地铁1号线博爱路站口，小区改造翻新了，干净清爽，配套完善。离校近。,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,,
4,开发公司精装修房子   设施齐全   随时看房,288万,16763,钟楼区南大街,凯悦中心花园,5室2厅1厨2卫,高楼层 (共33层),171.81㎡,平层,135.11㎡,板塔结合,东南,钢混结构,精装,两梯三户,有,暂无数据,2023-10-12,商品房,2014-10-08,普通住宅,暂无数据,共有,有抵押,已上传房本照片,,,凯悦首排采光好，客厅宽敞阳台大。两个卧室户型方正。,小区物业是金鹰物业服务公司，整体管理规范，小区环境树木葱郁整洁美观。凯悦小区的北侧是金鹰百货、地铁2号线和地铁5号线交汇，小区南侧是怀小和会馆浜菜场，出行交通便利，小区的居住舒适度很高。,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年名下唯一的住宅，可以免个税，未满5年的成交价的1%",,,小区北侧有BRT公交，小区南侧门口有公交车站，交通出行便利。北侧怀德桥有地铁2号和5号线。会馆菜场,,,,,,,,
5,南广场九州玺 精装修 红梅公园旁 看房方便,368万,34991,天宁区南大街,南广场花园西,3室2厅1厨1卫,低楼层 (共21层),105.17㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯五户,有,暂无数据,2023-02-24,商品房,2023-03-24,普通住宅,未满两年,共有,无抵押,已上传房本照片,,,南广场九州玺 精装修 红梅公园旁 看房方便,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,房子空置，户型方正，业主现诚心出售，证件齐，手续全，价格可谈,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
6,怀德桥凯悦 房龄新 小区物业环境好 看房方便,158万,16910,钟楼区南大街,凯悦中心花园,2室2厅1厨1卫,高楼层 (共33层),93.44㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-05-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,此房户型方正，交通便利、小区空气好，楼间距也大、采光佳,小区空气好，楼间距也大，房间格局分明、采光足，使得房间的每个角落都能享受阳光的沐浴，小区适宜散步休闲，安静典雅,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,南大街步行街、莱蒙都会、大润发、好又多，医院：第四医院、第二医院邮局：中国邮政(延陵邮政支局)银行：兴业银行、招行、建行、交行、其他：亚细亚影城、中天钢铁体育馆、劳动路特色,,,,,,,,
7,清潭六村西区3楼 房东诚心出售的 配套齐全 交通方便,70万,10579,钟楼区南大街,清潭六村西区,2室1厅1厨1卫,中楼层 (共6层),66.17㎡,平层,暂无数据,暂无数据,南 北,未知结构,简装,暂无数据,暂无数据,暂无数据,2022-04-18,商品房,2013-08-30,普通住宅,暂无数据,共有,无抵押,已上传房本照片,,,楼层好，两房朝南，房东诚心出售，随时看房,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,公交站台较多而且距离市区较近旁边市场较多 有清潭小商品市场 还有公园 还有医院,,,小区比较安静 适合老人和小孩生活 小区安静 .........,,,,,
8,觅小+田家炳，东方国际公寓，精装小两房，诚心出售,139万,24078,钟楼区南大街,东方国际公寓,2室1厅1厨1卫,中楼层 (共29层),57.73㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,四梯二十五户,有,暂无数据,2023-06-24,商品房,2006-11-12,普通住宅,满五年,共有,无抵押,已上传房本照片,,,地段好，配套齐全生活很方便，上班的白领较多，出租很方便,它坐落于常州青果巷旁，1-2层为临街，采用挑高设计，让您不仅拥有一个宽敞的空间，更拥有一份事业上的广阔天地。3——26层全部为小户型公寓。本项目定位为城区小户型。户型面积范围为39－67㎡。,,,,项目配套齐全，交通十分便捷。且各种公园，银行，生活、娱乐、教育场所比较完善,,,此房所在的位置比较好，配套齐全，购物等都比较方便，比较适合年轻人,,,,,
9,3房2厅，采光好精装修拎包即住,220万,15588,钟楼区南大街,金色新城东区,3室2厅1厨2卫,中楼层 (共9层),141.14㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-12-16,商品房,2018-10-17,普通住宅,暂无数据,共有,有抵押 60万元 公积金 业主自还,已上传房本照片,042434413974,金色新城东区 3室2厅2卫 南北通风 楼层好 南北通风 采光好,此房位于市里钟楼板块 近吾悦广场 近江南商场 近通江路 近南大街 配套齐全,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",此房产权清晰，无查封，有抵押，业主诚心出售，看房方便，过户全程陪同,,,,,,,,,,,
