,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,周边配套,税费解析,房源核验码,查询房管备案记录,小区介绍,权属抵押,适宜人群,装修描述,户型介绍,交通出行,别墅类型,用水类型,用电类型,燃气价格
0,小区环境优雅，配套成熟，交通便利，居住舒适。,128.9万,16278,天宁区青龙,龙湖香醍时光 ,2室2厅1厨1卫,高楼层 (共33层),79.19㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-11-10,商品房,2019-07-16,普通住宅,满两年,非共有,有抵押 50万元 业主自还,已上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税。,,,,,,,,,,,,
1,花语江南，小区新交付，环境优美此房不靠高架。,215万,21250,天宁区青龙,央著瑞庭,3室2厅1厨2卫,中楼层 (共18层),101.18㎡,平层,暂无数据,板楼,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-10-02,商品房,2021-08-28,普通住宅,暂无数据,共有,无抵押,已上传房本照片,该小区环境好，旁边就是紫荆公园，休闲散步好处去，为成熟社区，环境优雅，配套完善，交通便利，居住舒适。,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,022496767314,花语江南，小区新交付，环境优美此房不靠高架。从未入住过,该房是纯商品房，已经满两年，没有高额的增值税，税费主要有：个税是1%、首套房契税是1.5%，二套是2%，三套及以上是3%。,,,,,,,,,
2,双阳台，大开间，边户，精装拎包住，省时省心。,210万,17902,天宁区青龙,景瑞天玺,3室2厅1厨2卫,低楼层 (共22层),117.31㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-03-23,商品房,2020-09-21,普通住宅,暂无数据,共有,有抵押 3万元 业主自还,已上传房本照片,双阳台，大开间，边户，精装拎包住，省时省心。,业主诚心出售，产权清晰，看房提前联系，房东人很好，提前联系随时可以看房。,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,小区环境优美，密度低，半人车分流，孩子老人出行安全。自带物业，管理好。,,,,,,,,,
3,香溢紫郡 精装三房小高层 不靠高架 诚意出售,118万,12817,天宁区青龙,香溢紫郡,3室2厅1厨1卫,低楼层 (共16层),92.07㎡,平层,71.89㎡,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-10-25,商品房,2014-04-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,天宁吾悦旁，地铁二号线紫云站，新城物业管理好,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税。,,,,,,,,,,,,
4,天宁吾悦旁，地铁2号线，次新小区,128万,11380,天宁区青龙,金新御园,3室2厅1厨1卫,低楼层 (共30层),112.48㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2022-09-28,商品房,2020-04-24,普通住宅,暂无数据,非共有,有抵押 50万元,已上传房本照片,天宁吾悦旁，地铁2号线，次新小区,"业主人友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒,成熟小区管理",,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,
5,急售龙湖香醍漫步 142平3房2卫 精装修250万,250万,17641,天宁区青龙,龙湖香醍漫步北区,3室2厅1厨2卫,中楼层 (共32层),141.72㎡,平层,114.42㎡,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2022-07-31,商品房,2014-05-15,普通住宅,暂无数据,共有,无抵押,已上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,生活设施齐 银行 农贸菜场 商场 饮食近在咫尺 生活起居很方便。,"首套房契税是1.5%，二套是2%，三套及以上是3%,如不满两年增加5.3%的增值税。",,,,,,,,,,,,
6,金新御园 三开间朝南 户型方正 看房方便,139万,11779,天宁区青龙,金新御园,3室1厅1厨2卫,中楼层 (共30层),118.01㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯三户,有,暂无数据,2023-07-08,商品房,2016-02-02,普通住宅,暂无数据,共有,无抵押,已上传房本照片,小区地理位置好，绿化程度高。环境整洁，居民素质高，适宜居住， 有健身器材,,契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,022447585316,金新御园 三开间朝南 户型方正 看房方便,综合市场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.吾悦广场,,,,,,,,,
7,阳光龙庭精装2房。好楼层，房东诚心出售！,98万,12861,天宁区青龙,阳光龙庭,2室2厅1厨1卫,中楼层 (共33层),76.2㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯五户,有,暂无数据,2023-09-17,商品房,2016-10-31,普通住宅,暂无数据,非共有,有抵押 30万元,已上传房本照片,精装自住 楼层好 采光好 业主诚意出售 拎包入住,,小区外围配套齐全，酒店，便利店，农贸市场均在小区外围，各大银行1000米内均有，武进医院，都在3公里，公交站台齐全，B10，10路，14路，16路，H1，H2.。。。。小区自带双语幼儿园，小区后面过马路设有篮球场，足球场，羽毛球场，等健身设施,1、契税：首套房，90平米以下成交价1%，90平米以上成交价的1.5%。二套房90平以上成交价的2%。 2、增值税：产证满2年免收增值税，未满2年征收5.3%。 3、个税：产证满5年而且是唯一一套住房，免收个税，未满5年，成交价的1%,,,,,,,,,,,,
8,景秀世家76平中间楼层随时看房急售,90万,11850,天宁区青龙,景秀世家,2室2厅1厨1卫,高楼层 (共24层),75.95㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯六户,有,暂无数据,2023-03-28,商品房,2010-05-17,普通住宅,暂无数据,共有,无抵押,已上传房本照片,明厨明卫 朝南两房 精装修拎包入住,,信特、苏果、欧，医院；武进医院，邮局：常州邮政局翠竹代办所，银行：工商银行、建设银行,,,,景秀世家小区由8栋高层和13栋小高层商品房组成，2.3.6.7栋是安置房。主力76平双卧朝南。边户90平双卧朝南，客厅朝东/西，所以商品房是由11层的小高层组成，面积有90平米，105平米，111平米，130平米组成,,,,,,,,,
9,核 心卖点：楼层好，采光佳，户型方正，看房方便~,123万,10983,天宁区青龙,金新御园,3室2厅1厨1卫,低楼层 (共30层),112㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2023-02-09,商品房,2020-09-08,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,核 心卖点：楼层好，采光佳，户型方正，看房方便~,售房详情：业主现诚心出售，证件齐全，看房，欢迎看房，随时恭候，，,,"税费解析：税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,权属抵押：此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,
